Field	Date	Plot	Location	Treatment	Plant	Pod_number
site_2	22.06.2013	3	Edge	Edge	3	45
site_2	22.06.2013	3	Edge	Edge	4	24
site_2	22.06.2013	3	Edge	Edge	5	31
site_3	22.06.2013	1	Edge	Edge	1	45
site_3	22.06.2013	1	Edge	Edge	2	44
site_3	22.06.2013	1	Edge	Edge	3	30
site_3	22.06.2013	1	Edge	Edge	4	33
site_3	22.06.2013	1	Edge	Edge	5	31
site_3	22.06.2013	2	Edge	Edge	1	54
site_3	22.06.2013	2	Edge	Edge	2	33
site_3	22.06.2013	2	Edge	Edge	3	41
site_3	22.06.2013	2	Edge	Edge	4	28
site_3	22.06.2013	2	Edge	Edge	5	38
site_3	22.06.2013	C	Edge	Control_Edge	1	59
site_3	22.06.2013	C	Edge	Control_Edge	2	53
site_3	22.06.2013	C	Edge	Control_Edge	3	57
site_3	22.06.2013	C	Edge	Control_Edge	4	57
site_3	22.06.2013	C	Edge	Control_Edge	5	34
site_3	22.06.2013	4	Edge	Edge	1	35
site_3	22.06.2013	4	Edge	Edge	2	26
site_3	22.06.2013	4	Edge	Edge	3	39
site_3	22.06.2013	4	Edge	Edge	4	46
site_3	22.06.2013	4	Edge	Edge	5	34
site_3	22.06.2013	3	Edge	Edge	1	30
site_3	22.06.2013	3	Edge	Edge	2	45
site_3	22.06.2013	3	Edge	Edge	3	18
site_3	22.06.2013	3	Edge	Edge	4	47
site_3	22.06.2013	3	Edge	Edge	5	21
site_3	22.06.2013	2	Crop	Crop	1	35
site_3	22.06.2013	2	Crop	Crop	2	36
site_3	22.06.2013	2	Crop	Crop	3	42
site_3	22.06.2013	2	Crop	Crop	4	41
site_3	22.06.2013	2	Crop	Crop	5	40
site_3	22.06.2013	C	Crop	Control_Crop	1	31
site_3	22.06.2013	C	Crop	Control_Crop	2	44
site_3	22.06.2013	C	Crop	Control_Crop	3	36
site_3	22.06.2013	C	Crop	Control_Crop	4	52
site_3	22.06.2013	C	Crop	Control_Crop	5	39
site_3	22.06.2013	3	Crop	Crop	1	39
site_3	22.06.2013	3	Crop	Crop	2	44
site_3	22.06.2013	3	Crop	Crop	3	44
site_3	22.06.2013	3	Crop	Crop	4	27
site_3	22.06.2013	3	Crop	Crop	5	36
site_3	22.06.2013	1	Crop	Crop	1	45
site_3	22.06.2013	1	Crop	Crop	2	41
site_3	22.06.2013	1	Crop	Crop	3	37
site_3	22.06.2013	1	Crop	Crop	4	38
site_3	22.06.2013	1	Crop	Crop	5	22
site_3	22.06.2013	4	Crop	Crop	1	36
site_3	22.06.2013	4	Crop	Crop	2	50
site_3	22.06.2013	4	Crop	Crop	3	48
site_3	22.06.2013	4	Crop	Crop	4	10
site_3	22.06.2013	4	Crop	Crop	5	44
site_4	22.06.2013	4	Edge	Edge	1	30
site_4	22.06.2013	4	Edge	Edge	2	46
site_4	22.06.2013	4	Edge	Edge	3	38
site_4	22.06.2013	4	Edge	Edge	4	40
site_4	22.06.2013	4	Edge	Edge	5	33
site_4	22.06.2013	C	Edge	Control_Edge	1	30
site_4	22.06.2013	C	Edge	Control_Edge	2	23
site_4	22.06.2013	C	Edge	Control_Edge	3	18
site_4	22.06.2013	C	Edge	Control_Edge	4	19
site_4	22.06.2013	C	Edge	Control_Edge	5	27
site_4	22.06.2013	3	Edge	Edge	1	40
site_4	22.06.2013	3	Edge	Edge	2	28
site_4	22.06.2013	3	Edge	Edge	3	37
site_4	22.06.2013	3	Edge	Edge	4	35
site_4	22.06.2013	3	Edge	Edge	5	30
site_4	22.06.2013	2	Edge	Edge	1	43
site_4	22.06.2013	2	Edge	Edge	2	35
site_4	22.06.2013	2	Edge	Edge	3	48
site_4	22.06.2013	2	Edge	Edge	4	38
site_4	22.06.2013	2	Edge	Edge	5	15
site_4	22.06.2013	1	Edge	Edge	1	32
site_4	22.06.2013	1	Edge	Edge	2	40
site_4	22.06.2013	1	Edge	Edge	3	39
site_4	22.06.2013	1	Edge	Edge	4	41
site_4	22.06.2013	1	Edge	Edge	5	25
site_4	22.06.2013	1	Crop	Crop	1	39
site_4	22.06.2013	1	Crop	Crop	2	26
site_4	22.06.2013	1	Crop	Crop	3	25
site_4	22.06.2013	1	Crop	Crop	4	24
site_4	22.06.2013	1	Crop	Crop	5	18
site_4	22.06.2013	4	Crop	Crop	1	30
site_4	22.06.2013	4	Crop	Crop	2	37
site_4	22.06.2013	4	Crop	Crop	3	26
site_4	22.06.2013	4	Crop	Crop	4	48
site_4	22.06.2013	4	Crop	Crop	5	41
site_4	22.06.2013	3	Crop	Crop	1	33
site_4	22.06.2013	3	Crop	Crop	2	38
site_4	22.06.2013	3	Crop	Crop	3	39
site_4	22.06.2013	3	Crop	Crop	4	47
site_4	22.06.2013	3	Crop	Crop	5	37
site_4	22.06.2013	2	Crop	Crop	1	47
site_4	22.06.2013	2	Crop	Crop	2	53
site_4	22.06.2013	2	Crop	Crop	3	40
site_4	22.06.2013	2	Crop	Crop	4	35
site_4	22.06.2013	2	Crop	Crop	5	32
site_4	22.06.2013	C	Crop	Control_Crop	1	30
site_4	22.06.2013	C	Crop	Control_Crop	2	54
site_4	22.06.2013	C	Crop	Control_Crop	3	47
site_4	22.06.2013	C	Crop	Control_Crop	4	54
site_4	22.06.2013	C	Crop	Control_Crop	5	40
site_1	22.06.2013	C	Edge	Control_Edge	1	27
site_1	22.06.2013	C	Edge	Control_Edge	2	20
site_1	22.06.2013	C	Edge	Control_Edge	3	36
site_1	22.06.2013	C	Edge	Control_Edge	4	19
site_1	22.06.2013	C	Edge	Control_Edge	5	22
site_1	22.06.2013	4	Edge	Edge	1	25
site_1	22.06.2013	4	Edge	Edge	2	52
site_1	22.06.2013	4	Edge	Edge	3	38
site_1	22.06.2013	4	Edge	Edge	4	29
site_1	22.06.2013	4	Edge	Edge	5	51
site_1	22.06.2013	1	Edge	Edge	1	34
site_1	22.06.2013	1	Edge	Edge	2	22
site_1	22.06.2013	1	Edge	Edge	3	10
site_1	22.06.2013	1	Edge	Edge	4	20
site_1	22.06.2013	1	Edge	Edge	5	18
site_1	22.06.2013	3	Edge	Edge	1	32
site_1	22.06.2013	3	Edge	Edge	2	42
site_1	22.06.2013	3	Edge	Edge	3	43
site_1	22.06.2013	3	Edge	Edge	4	17
site_1	22.06.2013	3	Edge	Edge	5	31
site_1	22.06.2013	2	Edge	Edge	1	46
site_1	22.06.2013	2	Edge	Edge	2	33
site_1	22.06.2013	2	Edge	Edge	3	35
site_1	22.06.2013	2	Edge	Edge	4	13
site_1	22.06.2013	2	Edge	Edge	5	30
site_1	22.06.2013	1	Crop	Crop	1	37
site_1	22.06.2013	1	Crop	Crop	2	21
site_1	22.06.2013	1	Crop	Crop	3	18
site_1	22.06.2013	1	Crop	Crop	4	22
site_1	22.06.2013	1	Crop	Crop	5	29
site_1	22.06.2013	2	Crop	Crop	1	41
site_1	22.06.2013	2	Crop	Crop	2	21
site_1	22.06.2013	2	Crop	Crop	3	42
site_1	22.06.2013	2	Crop	Crop	4	21
site_1	22.06.2013	2	Crop	Crop	5	16
site_1	22.06.2013	4	Crop	Crop	1	47
site_1	22.06.2013	4	Crop	Crop	2	34
site_1	22.06.2013	4	Crop	Crop	3	23
site_1	22.06.2013	4	Crop	Crop	4	32
site_1	22.06.2013	4	Crop	Crop	5	28
site_1	22.06.2013	3	Crop	Crop	1	31
site_1	22.06.2013	3	Crop	Crop	2	23
site_1	22.06.2013	3	Crop	Crop	3	38
site_1	22.06.2013	3	Crop	Crop	4	30
site_1	22.06.2013	3	Crop	Crop	5	28
site_1	22.06.2013	C	Crop	Control_Crop	1	42
site_1	22.06.2013	C	Crop	Control_Crop	2	27
site_1	22.06.2013	C	Crop	Control_Crop	3	35
site_1	22.06.2013	C	Crop	Control_Crop	4	25
site_1	22.06.2013	C	Crop	Control_Crop	5	20
site_5	23.06.2013	C	Edge	Control_Edge	1	28
site_5	23.06.2013	C	Edge	Control_Edge	2	27
site_5	23.06.2013	C	Edge	Control_Edge	3	33
site_5	23.06.2013	C	Edge	Control_Edge	4	17
site_5	23.06.2013	C	Edge	Control_Edge	5	25
site_5	23.06.2013	1	Edge	Edge	1	22
site_5	23.06.2013	1	Edge	Edge	2	23
site_5	23.06.2013	1	Edge	Edge	3	25
site_5	23.06.2013	1	Edge	Edge	4	16
site_5	23.06.2013	1	Edge	Edge	5	26
site_5	23.06.2013	2	Edge	Edge	1	34
site_5	23.06.2013	2	Edge	Edge	2	33
site_5	23.06.2013	2	Edge	Edge	3	24
site_5	23.06.2013	2	Edge	Edge	4	14
site_5	23.06.2013	2	Edge	Edge	5	13
site_5	23.06.2013	3	Edge	Edge	1	29
site_5	23.06.2013	3	Edge	Edge	2	35
site_5	23.06.2013	3	Edge	Edge	3	28
site_5	23.06.2013	3	Edge	Edge	4	15
site_5	23.06.2013	3	Edge	Edge	5	40
site_5	23.06.2013	4	Edge	Edge	1	26
site_5	23.06.2013	4	Edge	Edge	2	20
site_5	23.06.2013	4	Edge	Edge	3	38
site_5	23.06.2013	4	Edge	Edge	4	28
site_5	23.06.2013	4	Edge	Edge	5	30
site_5	23.06.2013	1	Crop	Crop	1	31
site_5	23.06.2013	1	Crop	Crop	2	40
site_5	23.06.2013	1	Crop	Crop	3	41
site_5	23.06.2013	1	Crop	Crop	4	33
site_5	23.06.2013	1	Crop	Crop	5	22
site_5	23.06.2013	C	Crop	Control_Crop	1	25
site_5	23.06.2013	C	Crop	Control_Crop	2	38
site_5	23.06.2013	C	Crop	Control_Crop	3	27
site_5	23.06.2013	C	Crop	Control_Crop	4	33
site_5	23.06.2013	C	Crop	Control_Crop	5	29
site_5	23.06.2013	2	Crop	Crop	1	39
site_5	23.06.2013	2	Crop	Crop	2	25
site_5	23.06.2013	2	Crop	Crop	3	34
site_5	23.06.2013	2	Crop	Crop	4	21
site_5	23.06.2013	2	Crop	Crop	5	44
site_5	23.06.2013	3	Crop	Crop	1	31
site_5	23.06.2013	3	Crop	Crop	2	47
site_5	23.06.2013	3	Crop	Crop	3	24
site_5	23.06.2013	3	Crop	Crop	4	23
site_5	23.06.2013	3	Crop	Crop	5	34
site_5	23.06.2013	4	Crop	Crop	1	35
site_5	23.06.2013	4	Crop	Crop	2	33
site_5	23.06.2013	4	Crop	Crop	3	45
site_5	23.06.2013	4	Crop	Crop	4	38
site_5	23.06.2013	4	Crop	Crop	5	36
site_6	23.06.2013	4	Edge	Edge	1	22
site_6	23.06.2013	4	Edge	Edge	2	26
site_6	23.06.2013	4	Edge	Edge	3	25
site_6	23.06.2013	4	Edge	Edge	4	32
site_6	23.06.2013	4	Edge	Edge	5	37
site_6	23.06.2013	3	Edge	Edge	1	20
site_6	23.06.2013	3	Edge	Edge	2	37
site_6	23.06.2013	3	Edge	Edge	3	27
site_6	23.06.2013	3	Edge	Edge	4	23
site_6	23.06.2013	3	Edge	Edge	5	16
site_6	23.06.2013	2	Edge	Edge	1	16
site_6	23.06.2013	2	Edge	Edge	2	29
site_6	23.06.2013	2	Edge	Edge	3	23
site_6	23.06.2013	2	Edge	Edge	4	22
site_6	23.06.2013	2	Edge	Edge	5	15
site_6	23.06.2013	C	Edge	Control_Edge	1	37
site_6	23.06.2013	C	Edge	Control_Edge	2	16
site_6	23.06.2013	C	Edge	Control_Edge	3	15
site_6	23.06.2013	C	Edge	Control_Edge	4	19
site_6	23.06.2013	C	Edge	Control_Edge	5	12
site_6	23.06.2013	1	Edge	Edge	1	24
site_6	23.06.2013	1	Edge	Edge	2	21
site_6	23.06.2013	1	Edge	Edge	3	38
site_6	23.06.2013	1	Edge	Edge	4	23
site_6	23.06.2013	1	Edge	Edge	5	29
site_6	23.06.2013	3	Crop	Crop	1	31
site_6	23.06.2013	3	Crop	Crop	2	27
site_6	23.06.2013	3	Crop	Crop	3	33
site_6	23.06.2013	3	Crop	Crop	4	34
site_6	23.06.2013	3	Crop	Crop	5	34
site_6	23.06.2013	C	Crop	Control_Crop	1	34
site_6	23.06.2013	C	Crop	Control_Crop	2	30
site_6	23.06.2013	C	Crop	Control_Crop	3	36
site_6	23.06.2013	C	Crop	Control_Crop	4	21
site_6	23.06.2013	C	Crop	Control_Crop	5	24
site_6	23.06.2013	2	Crop	Crop	1	20
site_6	23.06.2013	2	Crop	Crop	2	33
site_6	23.06.2013	2	Crop	Crop	3	9
site_6	23.06.2013	2	Crop	Crop	4	34
site_6	23.06.2013	2	Crop	Crop	5	29
site_6	23.06.2013	4	Crop	Crop	1	26
site_6	23.06.2013	4	Crop	Crop	2	27
site_6	23.06.2013	4	Crop	Crop	3	21
site_6	23.06.2013	4	Crop	Crop	4	35
site_6	23.06.2013	4	Crop	Crop	5	18
site_6	23.06.2013	1	Crop	Crop	1	24
site_6	23.06.2013	1	Crop	Crop	2	33
site_6	23.06.2013	1	Crop	Crop	3	30
site_6	23.06.2013	1	Crop	Crop	4	26
site_6	23.06.2013	1	Crop	Crop	5	14
site_7	23.06.2013	C	Edge	Control_Edge	1	58
site_7	23.06.2013	C	Edge	Control_Edge	2	36
site_7	23.06.2013	C	Edge	Control_Edge	3	46
site_7	23.06.2013	C	Edge	Control_Edge	4	50
site_7	23.06.2013	C	Edge	Control_Edge	5	25
site_7	23.06.2013	4	Edge	Edge	1	37
site_7	23.06.2013	4	Edge	Edge	2	43
site_7	23.06.2013	4	Edge	Edge	3	32
site_7	23.06.2013	4	Edge	Edge	4	38
site_7	23.06.2013	4	Edge	Edge	5	39
site_7	23.06.2013	3	Edge	Edge	1	30
site_7	23.06.2013	3	Edge	Edge	2	40
site_7	23.06.2013	3	Edge	Edge	3	44
site_7	23.06.2013	3	Edge	Edge	4	48
site_7	23.06.2013	3	Edge	Edge	5	19
site_7	23.06.2013	2	Edge	Edge	1	39
site_7	23.06.2013	2	Edge	Edge	2	39
site_7	23.06.2013	2	Edge	Edge	3	36
site_7	23.06.2013	2	Edge	Edge	4	31
site_7	23.06.2013	2	Edge	Edge	5	40
site_7	23.06.2013	1	Edge	Edge	1	41
site_7	23.06.2013	1	Edge	Edge	2	45
site_7	23.06.2013	1	Edge	Edge	3	35
site_7	23.06.2013	1	Edge	Edge	4	37
site_7	23.06.2013	1	Edge	Edge	5	47
site_7	23.06.2013	1	Crop	Crop	1	52
site_7	23.06.2013	1	Crop	Crop	2	46
site_7	23.06.2013	1	Crop	Crop	3	51
site_7	23.06.2013	1	Crop	Crop	4	39
site_7	23.06.2013	1	Crop	Crop	5	45
site_7	23.06.2013	4	Crop	Crop	1	52
site_7	23.06.2013	4	Crop	Crop	2	43
site_7	23.06.2013	4	Crop	Crop	3	41
site_7	23.06.2013	4	Crop	Crop	4	50
site_7	23.06.2013	4	Crop	Crop	5	46
site_7	23.06.2013	C	Crop	Control_Crop	1	44
site_7	23.06.2013	C	Crop	Control_Crop	2	57
site_7	23.06.2013	C	Crop	Control_Crop	3	57
site_7	23.06.2013	C	Crop	Control_Crop	4	55
site_7	23.06.2013	C	Crop	Control_Crop	5	40
site_7	23.06.2013	2	Crop	Crop	1	48
site_7	23.06.2013	2	Crop	Crop	2	29
site_7	23.06.2013	2	Crop	Crop	3	32
site_7	23.06.2013	2	Crop	Crop	4	37
site_7	23.06.2013	2	Crop	Crop	5	37
site_7	23.06.2013	3	Crop	Crop	1	33
site_7	23.06.2013	3	Crop	Crop	2	42
site_7	23.06.2013	3	Crop	Crop	3	43
site_7	23.06.2013	3	Crop	Crop	4	53
site_7	23.06.2013	3	Crop	Crop	5	56
site_8	23.06.2013	2	Edge	Edge	1	35
site_8	23.06.2013	2	Edge	Edge	2	31
site_8	23.06.2013	2	Edge	Edge	3	37
site_8	23.06.2013	2	Edge	Edge	4	43
site_8	23.06.2013	2	Edge	Edge	5	28
site_8	23.06.2013	1	Edge	Edge	1	22
site_8	23.06.2013	1	Edge	Edge	2	37
site_8	23.06.2013	1	Edge	Edge	3	44
site_8	23.06.2013	1	Edge	Edge	4	38
site_8	23.06.2013	1	Edge	Edge	5	34
site_8	23.06.2013	3	Edge	Edge	1	25
site_8	23.06.2013	3	Edge	Edge	2	34
site_8	23.06.2013	3	Edge	Edge	3	19
site_8	23.06.2013	3	Edge	Edge	4	32
site_8	23.06.2013	3	Edge	Edge	5	13
site_8	23.06.2013	4	Edge	Edge	1	33
site_8	23.06.2013	4	Edge	Edge	2	25
site_8	23.06.2013	4	Edge	Edge	3	34
site_8	23.06.2013	4	Edge	Edge	4	25
site_8	23.06.2013	4	Edge	Edge	5	29
site_8	23.06.2013	C	Edge	Control_Edge	1	37
site_8	23.06.2013	C	Edge	Control_Edge	2	26
site_8	23.06.2013	C	Edge	Control_Edge	3	36
site_8	23.06.2013	C	Edge	Control_Edge	4	40
site_8	23.06.2013	C	Edge	Control_Edge	5	52
site_8	23.06.2013	1	Crop	Crop	1	37
site_8	23.06.2013	1	Crop	Crop	2	34
site_8	23.06.2013	1	Crop	Crop	3	31
site_8	23.06.2013	1	Crop	Crop	4	23
site_8	23.06.2013	1	Crop	Crop	5	48
site_8	23.06.2013	2	Crop	Crop	1	39
site_8	23.06.2013	2	Crop	Crop	2	29
site_8	23.06.2013	2	Crop	Crop	3	38
site_8	23.06.2013	2	Crop	Crop	4	41
site_8	23.06.2013	2	Crop	Crop	5	40
site_8	23.06.2013	3	Crop	Crop	1	40
site_8	23.06.2013	3	Crop	Crop	2	32
site_8	23.06.2013	3	Crop	Crop	3	31
site_8	23.06.2013	3	Crop	Crop	4	23
site_8	23.06.2013	3	Crop	Crop	5	20
site_8	23.06.2013	4	Crop	Crop	1	28
site_8	23.06.2013	4	Crop	Crop	2	28
site_8	23.06.2013	4	Crop	Crop	3	25
site_8	23.06.2013	4	Crop	Crop	4	38
site_8	23.06.2013	4	Crop	Crop	5	39
site_8	23.06.2013	C	Crop	Control_Crop	1	34
site_8	23.06.2013	C	Crop	Control_Crop	2	46
site_8	23.06.2013	C	Crop	Control_Crop	3	24
site_8	23.06.2013	C	Crop	Control_Crop	4	41
site_8	23.06.2013	C	Crop	Control_Crop	5	47
site_9	23.06.2013	1	Edge	Edge	1	26
site_9	23.06.2013	1	Edge	Edge	2	29
site_9	23.06.2013	1	Edge	Edge	3	34
site_9	23.06.2013	1	Edge	Edge	4	39
site_9	23.06.2013	1	Edge	Edge	5	39
site_9	23.06.2013	2	Edge	Edge	1	28
site_9	23.06.2013	2	Edge	Edge	2	45
site_9	23.06.2013	2	Edge	Edge	3	27
site_9	23.06.2013	2	Edge	Edge	4	41
site_9	23.06.2013	2	Edge	Edge	5	22
site_9	23.06.2013	C	Edge	Control_Edge	1	27
site_9	23.06.2013	C	Edge	Control_Edge	2	29
site_9	23.06.2013	C	Edge	Control_Edge	3	34
site_9	23.06.2013	C	Edge	Control_Edge	4	20
site_9	23.06.2013	C	Edge	Control_Edge	5	40
site_9	23.06.2013	4	Edge	Edge	1	32
site_9	23.06.2013	4	Edge	Edge	2	30
site_9	23.06.2013	4	Edge	Edge	3	34
site_9	23.06.2013	4	Edge	Edge	4	14
site_9	23.06.2013	4	Edge	Edge	5	42
site_9	23.06.2013	3	Edge	Edge	1	48
site_9	23.06.2013	3	Edge	Edge	2	44
site_9	23.06.2013	3	Edge	Edge	3	38
site_9	23.06.2013	3	Edge	Edge	4	23
site_9	23.06.2013	3	Edge	Edge	5	42
site_9	23.06.2013	C	Crop	Control_Crop	1	35
site_9	23.06.2013	C	Crop	Control_Crop	2	41
site_9	23.06.2013	C	Crop	Control_Crop	3	32
site_9	23.06.2013	C	Crop	Control_Crop	4	31
site_9	23.06.2013	C	Crop	Control_Crop	5	41
site_9	23.06.2013	1	Crop	Crop	1	44
site_9	23.06.2013	1	Crop	Crop	2	34
site_9	23.06.2013	1	Crop	Crop	3	44
site_9	23.06.2013	1	Crop	Crop	4	31
site_9	23.06.2013	1	Crop	Crop	5	29
site_9	23.06.2013	2	Crop	Crop	1	34
site_9	23.06.2013	2	Crop	Crop	2	53
site_9	23.06.2013	2	Crop	Crop	3	32
site_9	23.06.2013	2	Crop	Crop	4	44
site_9	23.06.2013	2	Crop	Crop	5	17
site_9	23.06.2013	3	Crop	Crop	1	28
site_9	23.06.2013	3	Crop	Crop	2	41
site_9	23.06.2013	3	Crop	Crop	3	35
site_9	23.06.2013	3	Crop	Crop	4	32
site_9	23.06.2013	3	Crop	Crop	5	36
site_9	23.06.2013	4	Crop	Crop	1	23
site_9	23.06.2013	4	Crop	Crop	2	32
site_9	23.06.2013	4	Crop	Crop	3	48
site_9	23.06.2013	4	Crop	Crop	4	28
site_9	23.06.2013	4	Crop	Crop	5	32
site_11	24.06.2013	3	Edge	Edge	1	16
site_11	24.06.2013	3	Edge	Edge	2	22
site_11	24.06.2013	3	Edge	Edge	3	17
site_11	24.06.2013	3	Edge	Edge	4	15
site_11	24.06.2013	3	Edge	Edge	5	17
site_11	24.06.2013	C	Edge	Control_Edge	1	15
site_11	24.06.2013	C	Edge	Control_Edge	2	16
site_11	24.06.2013	C	Edge	Control_Edge	3	24
site_11	24.06.2013	C	Edge	Control_Edge	4	24
site_11	24.06.2013	C	Edge	Control_Edge	5	16
site_11	24.06.2013	1	Edge	Edge	1	13
site_11	24.06.2013	1	Edge	Edge	2	13
site_11	24.06.2013	1	Edge	Edge	3	12
site_11	24.06.2013	1	Edge	Edge	4	15
site_11	24.06.2013	1	Edge	Edge	5	12
site_11	24.06.2013	4	Edge	Edge	1	7
site_11	24.06.2013	4	Edge	Edge	2	11
site_11	24.06.2013	4	Edge	Edge	3	7
site_11	24.06.2013	4	Edge	Edge	4	19
site_11	24.06.2013	4	Edge	Edge	5	7
site_11	24.06.2013	2	Edge	Edge	1	19
site_11	24.06.2013	2	Edge	Edge	2	16
site_11	24.06.2013	2	Edge	Edge	3	14
site_11	24.06.2013	2	Edge	Edge	4	18
site_11	24.06.2013	2	Edge	Edge	5	16
site_11	24.06.2013	3	Crop	Crop	1	41
site_11	24.06.2013	3	Crop	Crop	2	16
site_11	24.06.2013	3	Crop	Crop	3	24
site_11	24.06.2013	3	Crop	Crop	4	35
site_11	24.06.2013	3	Crop	Crop	5	23
site_11	24.06.2013	4	Crop	Crop	1	24
site_11	24.06.2013	4	Crop	Crop	2	32
site_11	24.06.2013	4	Crop	Crop	3	23
site_11	24.06.2013	4	Crop	Crop	4	24
site_11	24.06.2013	4	Crop	Crop	5	20
site_11	24.06.2013	C	Crop	Control_Crop	1	15
site_11	24.06.2013	C	Crop	Control_Crop	2	25
site_11	24.06.2013	C	Crop	Control_Crop	3	17
site_11	24.06.2013	C	Crop	Control_Crop	4	27
site_11	24.06.2013	C	Crop	Control_Crop	5	18
site_11	24.06.2013	1	Crop	Crop	1	40
site_11	24.06.2013	1	Crop	Crop	2	21
site_11	24.06.2013	1	Crop	Crop	3	18
site_11	24.06.2013	1	Crop	Crop	4	20
site_11	24.06.2013	1	Crop	Crop	5	16
site_11	24.06.2013	2	Crop	Crop	1	38
site_11	24.06.2013	2	Crop	Crop	2	20
site_11	24.06.2013	2	Crop	Crop	3	23
site_11	24.06.2013	2	Crop	Crop	4	27
site_11	24.06.2013	2	Crop	Crop	5	16
site_10	24.06.2013	3	Edge	Edge	1	13
site_10	24.06.2013	3	Edge	Edge	2	33
site_10	24.06.2013	3	Edge	Edge	3	15
site_10	24.06.2013	3	Edge	Edge	4	7
site_10	24.06.2013	3	Edge	Edge	5	32
site_10	24.06.2013	C	Edge	Control_Edge	1	29
site_10	24.06.2013	C	Edge	Control_Edge	2	23
site_10	24.06.2013	C	Edge	Control_Edge	3	34
site_10	24.06.2013	C	Edge	Control_Edge	4	31
site_10	24.06.2013	C	Edge	Control_Edge	5	31
site_10	24.06.2013	2	Edge	Edge	1	40
site_10	24.06.2013	2	Edge	Edge	2	10
site_10	24.06.2013	2	Edge	Edge	3	24
site_10	24.06.2013	2	Edge	Edge	4	26
site_10	24.06.2013	2	Edge	Edge	5	24
site_10	24.06.2013	4	Edge	Edge	1	20
site_10	24.06.2013	4	Edge	Edge	2	37
site_10	24.06.2013	4	Edge	Edge	3	22
site_10	24.06.2013	4	Edge	Edge	4	27
site_10	24.06.2013	4	Edge	Edge	5	25
site_10	24.06.2013	1	Edge	Edge	1	17
site_10	24.06.2013	1	Edge	Edge	2	29
site_10	24.06.2013	1	Edge	Edge	3	30
site_10	24.06.2013	1	Edge	Edge	4	20
site_10	24.06.2013	1	Edge	Edge	5	27
site_10	24.06.2013	C	Crop	Control_Crop	1	40
site_10	24.06.2013	C	Crop	Control_Crop	2	10
site_10	24.06.2013	C	Crop	Control_Crop	3	17
site_10	24.06.2013	C	Crop	Control_Crop	4	21
site_10	24.06.2013	C	Crop	Control_Crop	5	26
site_10	24.06.2013	1	Crop	Crop	1	41
site_10	24.06.2013	1	Crop	Crop	2	31
site_10	24.06.2013	1	Crop	Crop	3	21
site_10	24.06.2013	1	Crop	Crop	4	18
site_10	24.06.2013	1	Crop	Crop	5	13
site_10	24.06.2013	2	Crop	Crop	1	26
site_10	24.06.2013	2	Crop	Crop	2	41
site_10	24.06.2013	2	Crop	Crop	3	49
site_10	24.06.2013	2	Crop	Crop	4	26
site_10	24.06.2013	2	Crop	Crop	5	32
site_10	24.06.2013	3	Crop	Crop	1	32
site_10	24.06.2013	3	Crop	Crop	2	35
site_10	24.06.2013	3	Crop	Crop	3	39
site_10	24.06.2013	3	Crop	Crop	4	37
site_10	24.06.2013	3	Crop	Crop	5	27
site_10	24.06.2013	4	Crop	Crop	1	44
