Field	Day	Month	Year	Time	Stage	Plot	Location	Treatment	Plants_per_m2
site_3	8	5	2013	1	green_bud	3	Edge	Edge	9
site_3	8	5	2013	1	green_bud	4	Edge	Edge	8
site_3	8	5	2013	1	green_bud	C	Edge	Control_Edge	14
site_2	8	5	2013	1	green_bud	1	Crop	Crop	28
site_2	8	5	2013	1	green_bud	2	Crop	Crop	28
site_2	8	5	2013	1	green_bud	3	Crop	Crop	15
site_2	8	5	2013	1	green_bud	4	Crop	Crop	21
site_2	8	5	2013	1	green_bud	C	Crop	Control_Crop	20
site_2	8	5	2013	1	green_bud	1	Edge	Edge	26
site_2	8	5	2013	1	green_bud	2	Edge	Edge	31
site_2	8	5	2013	1	green_bud	3	Edge	Edge	22
site_2	8	5	2013	1	green_bud	4	Edge	Edge	29
site_2	8	5	2013	1	green_bud	C	Edge	Control_Edge	29
site_1	8	5	2013	1	green_bud	1	Crop	Crop	12
site_1	8	5	2013	1	green_bud	2	Crop	Crop	21
site_1	8	5	2013	1	green_bud	3	Crop	Crop	20
site_1	8	5	2013	1	green_bud	4	Crop	Crop	18
site_1	8	5	2013	1	green_bud	C	Crop	Control_Crop	12
site_1	8	5	2013	1	green_bud	1	Edge	Edge	28
site_1	8	5	2013	1	green_bud	2	Edge	Edge	22
site_1	8	5	2013	1	green_bud	3	Edge	Edge	29
site_1	8	5	2013	1	green_bud	4	Edge	Edge	34
site_1	8	5	2013	1	green_bud	C	Edge	Control_Edge	24
site_15	11	5	2013	1	green_bud	1	Crop	Crop	17
site_15	11	5	2013	1	green_bud	2	Crop	Crop	16
site_15	11	5	2013	1	green_bud	3	Crop	Crop	19
site_15	11	5	2013	1	green_bud	4	Crop	Crop	14
site_15	11	5	2013	1	green_bud	C	Crop	Control_Crop	19
site_15	11	5	2013	1	green_bud	1	Edge	Edge	14
site_15	11	5	2013	1	green_bud	2	Edge	Edge	16
site_15	11	5	2013	1	green_bud	3	Edge	Edge	17
site_15	11	5	2013	1	green_bud	4	Edge	Edge	10
site_15	11	5	2013	1	green_bud	C	Edge	Control_Edge	12
