system_ID	Richness	E_var	visits_wild_insects	log_visits_wild_insects	visits_honey_bees	CV_visits_wild_insects	CV_visits_honey_bees	fruit_set	pollen_dep	CV_fruit_set	CV_pollen_dep
Blueberry_C	-0,66814	-0,56583	-0,59449	-0,41190	0,03490	0,20808	0,26653	NA	-0,98920	NA	2,24227
Blueberry_C	0,95159	0,21025	-0,57261	-0,38012	-0,01586	0,19952	-1,00400	NA	-0,00621	NA	-0,38545
Blueberry_C	1,27554	2,02922	-0,47778	-0,24938	0,11950	-1,04500	-0,32111	NA	0,97401	NA	-0,70387
Blueberry_C	0,30370	0,66908	-0,01824	0,26465	-0,11738	-0,05245	-0,24995	NA	-0,43696	NA	-0,22500
Blueberry_C	-0,02025	-1,12270	0,06200	0,33941	1,42231	-0,34055	1,37351	NA	1,03476	NA	-0,78061
Blueberry_C	0,95159	-0,12657	0,36107	0,59040	2,13294	0,35091	-0,41666	NA	1,40476	NA	-0,62541
Blueberry_C	-0,66814	-0,24899	0,40484	0,62398	-0,74341	3,11787	-0,41390	NA	-0,74345	NA	0,55626
Blueberry_C	-0,66814	-1,36847	0,67473	0,81662	-1,13256	0,35559	-0,24635	NA	-0,74345	NA	-1,03968
Blueberry_C	0,95159	-0,24061	1,46252	1,27282	0,45789	-0,30348	-0,65262	NA	0,66752	NA	-0,04135
Blueberry_C	0,95159	-0,25546	1,63759	1,35844	0,74552	-0,31247	-0,09938	NA	1,21976	NA	-0,92391
Blueberry_C	1,59948	-1,47093	1,91478	1,48515	1,27004	-1,15932	-1,14087	NA	1,15901	NA	-0,97280
Buckwheat_A	-1,14614	1,43293	-1,54011	-1,71424	-1,03938	1,62388	1,25143	0,04083	NA	-0,14648	NA
Buckwheat_A	-0,13484	-0,14160	-0,30290	0,01911	-0,15291	-0,62640	-0,59851	0,46272	NA	-0,77121	NA
Buckwheat_A	0,20226	-1,31849	0,14505	0,32276	1,45090	-0,85006	-0,75968	1,26379	NA	-0,68771	NA
Buckwheat_A	1,55066	-0,29293	0,65700	0,59921	0,48622	0,27064	-0,81059	-1,44283	NA	1,70330	NA
Buckwheat_A	-0,47194	0,32008	1,04096	0,77316	-0,74483	-0,41807	0,91736	-0,32452	NA	-0,09790	NA
Buckwheat_B	-1,12225	-0,63578	-1,47538	-1,68713	1,21361	1,75055	-0,80019	-0,49745	NA	0,15366	NA
Buckwheat_B	-0,22044	0,47647	-1,36689	-1,50301	1,21361	-0,90166	-1,05827	-1,23863	NA	0,78004	NA
Buckwheat_B	-0,22044	1,35060	-1,36689	-1,50301	0,09907	1,38958	-0,39311	-1,67081	NA	1,91435	NA
Buckwheat_B	0,38076	0,62872	-0,82447	-0,72723	0,65634	-0,68361	-0,24489	1,01642	NA	-0,18880	NA
Buckwheat_B	-0,82164	0,26766	-0,71599	-0,59452	1,02785	1,99364	-0,83383	-1,04507	NA	1,39339	NA
Buckwheat_B	0,68136	0,63430	-0,39054	-0,22983	-0,08669	-0,42875	-0,40109	0,58692	NA	-0,77930	NA
Buckwheat_B	-1,42285	-2,57678	0,04339	0,19358	1,39936	-0,07839	-0,72280	0,43787	NA	-0,98983	NA
Buckwheat_B	0,98197	0,65099	0,04339	0,19358	0,47058	-0,58807	-0,85570	-0,27253	NA	1,00694	NA
Buckwheat_B	0,08016	0,88841	0,36884	0,47441	-1,38698	-0,21952	1,64229	1,34807	NA	-0,63853	NA
Buckwheat_B	-0,52104	-0,08295	0,47733	0,56220	-1,57274	-1,01096	NA	-1,01747	NA	0,80868	NA
Buckwheat_B	-0,52104	-0,53380	0,58581	0,64737	-0,64396	0,52118	0,20474	0,22807	NA	-1,31470	NA
Buckwheat_B	-0,82164	-0,64777	0,69429	0,73006	-1,38698	-1,27197	1,64229	0,81415	NA	-0,30022	NA
Buckwheat_B	1,88377	0,60280	0,80278	0,81043	0,09907	-0,00847	0,70770	1,36172	NA	-1,28153	NA
Buckwheat_B	1,88377	0,27105	1,45368	1,25019	-0,45820	0,03904	-0,52945	0,77061	NA	-0,75289	NA
Buckwheat_B	-0,22044	-1,29393	1,67065	1,38291	-0,64396	-0,50258	1,64229	-0,82186	NA	0,18874	NA
Cherry_A	-1,76777	NA	-1,24088	NA	-0,57140	NA	-0,79496	-0,44577	NA	0,26797	NA
Cherry_A	-0,82496	0,71606	-0,87989	-1,52886	-0,57140	1,69778	0,51632	-0,50893	NA	1,64471	NA
Cherry_A	-0,35355	1,00366	-0,69940	-0,99028	-0,57140	-0,71258	-0,06780	-1,02786	NA	0,47668	NA
Cherry_A	0,11785	0,48463	-0,33842	-0,31175	-0,37549	0,81988	0,98157	1,26251	NA	-1,84651	NA
Cherry_A	0,11785	-1,52141	0,20305	0,31255	1,58358	0,29630	-1,51886	0,05553	NA	0,18708	NA
Cherry_A	1,53206	-1,03813	0,38354	0,46900	1,64888	-0,54560	0,21265	-1,22556	NA	-0,16095	NA
Cherry_A	0,58926	0,80592	0,74453	0,73555	-0,57140	-0,36445	1,46604	1,49302	NA	-0,71083	NA
Cherry_A	0,58926	-0,45072	1,82747	1,31379	-0,57140	-1,19132	-0,79496	0,39706	NA	0,14185	NA
Cherry_B	-1,07213	NA	-1,02421	-1,48983	NA	NA	NA	1,70924	NA	-0,29824	NA
Cherry_B	-1,07213	NA	-1,02421	-1,48983	NA	NA	NA	-0,32268	NA	1,73150	NA
Cherry_B	-1,07213	NA	-1,02421	-1,48983	NA	NA	NA	-0,57667	NA	0,63022	NA
Cherry_B	-1,07213	NA	-1,02421	-1,48983	NA	NA	NA	1,04403	NA	-0,47100	NA
Cherry_B	-1,07213	NA	-1,02421	-1,48983	NA	NA	NA	-0,08078	NA	0,02204	NA
Cherry_B	-0,36678	-1,57675	-0,75749	-0,67300	NA	NA	NA	-0,32268	NA	0,99223	NA
Cherry_B	-1,07213	1,20337	-0,75749	-0,67300	NA	NA	NA	-1,33863	NA	-1,31312	NA
Cherry_B	0,33857	NA	-0,75749	-0,67300	NA	NA	NA	-0,32268	NA	1,73150	NA
Cherry_B	-1,07213	NA	-0,75749	-0,67300	NA	NA	NA	-0,83066	NA	1,73150	NA
Cherry_B	-0,36678	0,66706	-0,49077	-0,19519	NA	NA	NA	-1,33863	NA	-1,31312	NA
Cherry_B	0,33857	1,20337	-0,49077	-0,19519	NA	NA	NA	0,35463	NA	-0,88254	NA
Cherry_B	-0,36678	-0,11136	-0,22405	0,14382	NA	NA	NA	0,01598	NA	-0,23668	NA
Cherry_B	-0,36678	-0,11136	-0,22405	0,14382	NA	NA	NA	0,79488	NA	-0,12050	NA
Cherry_B	-1,07213	NA	-0,22405	0,14382	NA	NA	NA	-1,33863	NA	-1,31312	NA
Cherry_B	0,33857	0,72618	0,04268	0,40678	NA	NA	NA	-0,01225	NA	0,48326	NA
Cherry_B	-0,36678	1,01908	0,04268	0,40678	NA	NA	NA	-1,33863	NA	-1,31312	NA
Cherry_B	0,33857	-0,60744	0,30940	0,62164	NA	NA	NA	1,45525	NA	-0,48277	NA
Cherry_B	0,33857	-0,18730	0,57612	0,80329	NA	NA	NA	-0,35731	NA	0,16822	NA
Cherry_B	1,74926	0,34753	0,57612	0,80329	NA	NA	NA	0,94001	NA	-0,35605	NA
Cherry_B	1,04391	0,80031	0,57612	0,80329	NA	NA	NA	1,37059	NA	-0,65394	NA
Cherry_B	1,04391	-0,22792	0,84284	0,96065	NA	NA	NA	-1,33863	NA	-1,31312	NA
Cherry_B	1,04391	-0,11136	0,84284	0,96065	NA	NA	NA	0,18530	NA	0,63022	NA
Cherry_B	2,45460	0,66706	1,10956	1,09945	NA	NA	NA	1,81083	NA	-0,79652	NA
Cherry_B	0,33857	-1,67607	2,17645	1,53279	NA	NA	NA	0,99807	NA	-0,16163	NA
Cherry_B	1,04391	-2,02439	2,70990	1,70143	NA	NA	NA	0,46751	NA	0,43091	NA
Coffee_h_A	-1,54360	NA	-1,52424	-1,83135	NA	2,55189	NA	-2,33619	NA	1,47017	NA
Coffee_h_A	-1,26295	NA	-1,52424	-1,83135	NA	0,31794	NA	-0,85679	NA	0,50489	NA
Coffee_h_A	-0,98229	NA	-1,42955	-1,63165	NA	1,45361	NA	-0,62390	NA	1,16986	NA
Coffee_h_A	-1,26295	NA	-1,39799	-1,56898	NA	-0,27934	NA	-1,65749	NA	0,35403	NA
Coffee_h_A	-0,98229	NA	-1,27173	-1,33503	NA	-0,04918	NA	0,16348	NA	-0,33190	NA
Coffee_h_A	-0,98229	NA	-0,70360	-0,51461	NA	-1,43323	NA	-1,28708	NA	-0,12512	NA
Coffee_h_A	0,14033	NA	-0,64047	-0,44006	NA	-0,49111	NA	1,08395	NA	-0,23342	NA
Coffee_h_A	-0,14033	NA	-0,54578	-0,33283	NA	0,13400	NA	0,44961	NA	-0,14220	NA
Coffee_h_A	-0,42098	NA	-0,29327	-0,07046	NA	-0,92669	NA	0,08585	NA	-1,60009	NA
Coffee_h_A	-0,42098	NA	-0,26171	-0,03980	NA	-0,94062	NA	-0,02504	NA	0,78660	NA
Coffee_h_A	-0,14033	NA	-0,23015	-0,00956	NA	-0,90481	NA	0,25886	NA	-1,61334	NA
Coffee_h_A	-0,70164	NA	-0,07233	0,13559	NA	-0,15310	NA	0,09916	NA	-0,19355	NA
Coffee_h_A	-0,14033	NA	0,11705	0,29781	NA	-0,09001	NA	0,03706	NA	0,74835	NA
Coffee_h_A	-0,14033	NA	0,24330	0,39957	NA	-0,53729	NA	-0,63721	NA	1,25791	NA
Coffee_h_A	-0,42098	NA	0,30643	0,44870	NA	-0,74542	NA	0,13021	NA	-0,29012	NA
Coffee_h_A	0,14033	NA	0,40112	0,52037	NA	-1,00221	NA	-1,25825	NA	2,19506	NA
Coffee_h_A	0,14033	NA	0,49580	0,58975	NA	0,29634	NA	0,02375	NA	0,85436	NA
Coffee_h_A	0,42098	NA	0,68518	0,72215	NA	0,30302	NA	-0,55515	NA	0,36515	NA
Coffee_h_A	1,26295	NA	0,77987	0,78543	NA	0,73437	NA	1,19485	NA	-1,27243	NA
Coffee_h_A	1,54360	NA	1,15863	1,02151	NA	-0,60947	NA	1,28135	NA	-0,92494	NA
Coffee_h_A	1,26295	NA	1,15863	1,02151	NA	-0,92836	NA	1,19485	NA	-0,97665	NA
Coffee_h_A	1,26295	NA	1,37957	1,14818	NA	0,80572	NA	0,75125	NA	-0,25559	NA
Coffee_h_A	2,10491	NA	1,41114	1,16569	NA	0,31794	NA	1,42330	NA	-1,13994	NA
Coffee_h_A	1,26295	NA	1,75833	1,34943	NA	2,17601	NA	1,05955	NA	-0,60710	NA
Coffee_h_B	NA	NA	-0,73498	NA	-1,31084	NA	0,51802	-1,62449	0,34463	-1,09947	0,03773
Coffee_h_B	NA	NA	-0,73498	NA	-0,70666	NA	-0,38934	-0,09322	-1,47958	1,17873	-0,04138
Coffee_h_B	-0,68596	-1,16591	-0,70122	-1,28584	-1,02743	0,76632	1,54364	-0,32655	-1,24486	2,00008	-0,23157
Coffee_h_B	-0,68596	0,28191	-0,65909	-0,80933	-0,60035	0,76632	0,96065	1,60527	-0,13589	-0,94590	-0,69368
Coffee_h_B	-0,44386	-0,59092	-0,65734	-0,79591	1,59211	0,76632	-0,30610	-0,54534	-0,13071	0,41530	0,30692
Coffee_h_B	NA	NA	-0,64497	-0,70893	0,96546	0,76632	0,20983	-0,33551	0,03423	-0,27800	2,40502
Coffee_h_B	-0,44386	-1,48531	-0,62199	-0,57518	0,99014	0,76632	-1,94229	-0,63768	0,22604	-0,08070	1,08304
Coffee_h_B	-0,20175	-0,31582	-0,56432	-0,33261	-0,75885	0,76632	-1,06915	-0,77288	-0,86518	-0,25521	0,52143
Coffee_h_B	1,25087	0,54402	0,84767	0,97747	1,36200	-0,86837	-1,00061	-0,49651	0,04656	-0,17867	-1,03027
Coffee_h_B	1,00877	0,08128	1,29449	1,12375	-0,61651	-1,09458	-0,02503	1,67102	0,30321	-1,51820	-1,03203
Coffee_h_B	1,49298	1,53789	1,58276	1,20187	0,28113	-1,15494	0,53374	0,83116	2,45139	-0,14723	-0,92168
Coffee_h_B	1,49298	1,11286	1,59397	1,20471	-0,17019	-1,48002	0,96663	0,72474	0,45016	0,90927	-0,40353
Coffee_h_C	-1,16657	-1,57938	-1,20654	-1,63103	1,30851	1,48007	0,47158	-0,67779	NA	NA	NA
Coffee_h_C	-1,16657	-1,56744	-1,20654	-1,63103	1,21891	1,48007	0,31109	-0,17986	NA	NA	NA
Coffee_h_C	-1,16657	-0,85207	-1,20654	-1,63103	-1,49891	1,48007	0,07934	-3,30142	NA	NA	NA
Coffee_h_C	-1,16657	-0,71351	-1,10105	-1,07106	0,35279	1,48007	0,48749	0,49279	NA	NA	NA
Coffee_h_C	-0,54440	-1,00711	-0,99556	-0,74350	0,47226	0,14846	0,39773	-1,05998	NA	NA	NA
Coffee_h_C	-0,54440	-0,48320	-0,46811	0,04888	0,35279	0,40182	0,34295	0,23072	NA	NA	NA
Coffee_h_C	-0,54440	-0,44569	-0,46811	0,04888	-0,66265	-0,69838	-0,25180	0,49279	NA	NA	NA
Coffee_h_C	-0,23331	-0,37359	0,05934	0,44111	0,11386	-0,57454	-0,34859	0,49279	NA	NA	NA
Coffee_h_C	-0,23331	1,05431	0,05934	0,44111	-1,76770	-0,64165	-1,72643	0,49279	NA	NA	NA
Coffee_h_C	1,63320	0,81426	0,27032	0,55671	0,95012	0,14846	0,74843	0,49279	NA	NA	NA
Coffee_h_C	0,38886	1,08844	0,37581	0,60885	-1,64824	-0,10933	1,75521	0,49279	NA	NA	NA
Coffee_h_C	0,07777	0,43133	0,79777	0,78912	-0,09520	-1,11753	0,57544	0,06038	NA	NA	NA
Coffee_h_C	1,01103	0,51107	0,79777	0,78912	0,89038	-1,40602	-2,47270	0,49279	NA	NA	NA
Coffee_h_C	1,01103	0,55340	1,00875	0,86612	0,50212	-0,96407	0,02690	0,49279	NA	NA	NA
Coffee_h_C	1,01103	0,95707	1,43071	1,00108	0,35279	-0,65888	0,44586	0,49279	NA	NA	NA
Coffee_h_C	1,63320	1,61210	1,85267	1,11668	-0,84185	-0,44861	-0,84250	0,49279	NA	NA	NA
Coffee_l_A	-1,25141	NA	-1,63947	-2,12318	NA	-0,18878	NA	-1,16877	NA	1,60017	NA
Coffee_l_A	-1,25141	NA	-1,25773	-1,40626	NA	1,26092	NA	-1,67625	NA	0,81819	NA
Coffee_l_A	-0,73713	NA	-0,85590	-0,80747	NA	-1,60904	NA	0,77982	NA	-0,54274	NA
Coffee_l_A	-0,73713	NA	-0,75544	-0,67565	NA	0,73022	NA	-0,20028	NA	0,49241	NA
Coffee_l_A	-0,73713	NA	-0,49425	-0,35911	NA	0,48398	NA	-0,00271	NA	-0,00303	NA
Coffee_l_A	-0,47999	NA	-0,29334	-0,13762	NA	-0,56253	NA	-0,07438	NA	-0,33937	NA
Coffee_l_A	-0,73713	NA	-0,23306	-0,07441	NA	0,73022	NA	-0,84917	NA	1,49734	NA
Coffee_l_A	0,54857	NA	-0,11251	0,04793	NA	-0,17406	NA	0,41955	NA	-0,26318	NA
Coffee_l_A	-0,22285	NA	-0,05224	0,10717	NA	-1,60904	NA	-0,84723	NA	0,02984	NA
Coffee_l_A	0,29143	NA	0,22904	0,36835	NA	0,63132	NA	-1,43801	NA	1,67822	NA
Coffee_l_A	2,34854	NA	0,28932	0,42132	NA	1,64707	NA	1,36091	NA	-1,18056	NA
Coffee_l_A	1,06284	NA	0,59069	0,67226	NA	0,70359	NA	0,89217	NA	-0,88983	NA
Coffee_l_A	0,80570	NA	0,93225	0,93213	NA	-0,07953	NA	0,77595	NA	-0,92183	NA
Coffee_l_A	0,29143	NA	1,79619	1,49944	NA	-0,92340	NA	1,31443	NA	-1,02240	NA
Coffee_l_A	0,80570	NA	1,85646	1,53509	NA	-1,04094	NA	0,71397	NA	-0,95321	NA
Coffee_l_B	NA	NA	-0,56300	NA	NA	NA	NA	1,53117	0,00652	-1,51059	0,29314
Coffee_l_B	NA	NA	-0,56100	-1,86069	NA	1,65079	NA	0,31892	NA	0,21400	NA
Coffee_l_B	NA	NA	-0,55947	-1,59827	NA	1,91077	NA	-2,27449	-0,83468	2,58694	-0,84409
Coffee_l_B	-1,06239	NA	-0,55050	-1,01398	NA	0,11029	NA	1,15723	-0,12049	-1,18981	-0,40987
Coffee_l_B	NA	NA	-0,54900	-0,96162	NA	1,65079	NA	-1,27274	-0,77882	0,82527	0,36297
Coffee_l_B	NA	NA	-0,53900	-0,71258	NA	0,99897	NA	0,33347	-0,93095	-0,37910	-0,06657
Coffee_l_B	1,28605	NA	-0,52300	-0,47657	NA	-0,85329	NA	0,06687	-0,69026	-0,99160	0,31265
Coffee_l_B	-0,27958	NA	-0,49500	-0,23140	NA	-0,34271	NA	-1,16590	-0,65720	1,24536	-0,11183
Coffee_l_B	-1,06239	NA	-0,48700	-0,18001	NA	-0,17697	NA	0,40810	NA	-0,47885	NA
Coffee_l_B	-1,06239	NA	-0,47100	-0,09173	NA	-0,13217	NA	0,26825	-0,44735	-0,50378	-0,49621
Coffee_l_B	0,50324	NA	-0,42501	0,09560	NA	-0,33977	NA	-0,78695	0,86788	0,77019	NA
Coffee_l_B	-1,06239	NA	-0,33301	0,33162	NA	-1,21799	NA	0,26806	0,87301	-0,63720	0,59322
Coffee_l_B	-0,27958	NA	-0,32701	0,34352	NA	-0,51436	NA	-0,21626	-0,55901	-0,03147	0,73264
Coffee_l_B	2,06886	NA	-0,28101	0,42580	NA	-0,36665	NA	-0,14386	-0,61024	1,20095	-1,24518
Coffee_l_B	-0,27958	NA	-0,25552	0,46579	NA	-0,08553	NA	-0,73973	-0,93532	-0,53434	-0,25485
Coffee_l_B	-0,27958	NA	0,95093	1,20229	NA	0,82157	NA	-0,71891	0,52215	-0,14120	3,09366
Coffee_l_B	0,50324	NA	1,06892	1,23697	NA	-1,07643	NA	0,53987	0,17374	0,02887	-0,95174
Coffee_l_B	-0,27958	NA	1,90688	1,42844	NA	-0,81863	NA	1,78306	1,41332	-0,89310	-0,66576
Coffee_l_B	1,28605	NA	2,99282	1,59681	NA	-1,21869	NA	0,64384	2,70770	0,41944	-0,34219
Coffee_l_C	-0,33649	0,29100	-1,39417	-3,80119	-0,13471	0,11087	1,45498	0,00444	NA	0,06115	NA
Coffee_l_C	-0,33649	-0,10830	-1,07395	-0,93342	-0,78092	0,81803	-0,55658	-0,20316	NA	1,74731	NA
Coffee_l_C	0,08012	-0,14938	-1,05255	-0,87895	-1,12557	-0,92508	0,15036	0,81174	NA	-0,87102	NA
Coffee_l_C	-0,12819	-0,45039	-1,03524	-0,83725	0,09984	0,31113	-1,01801	0,60414	NA	0,63092	NA
Coffee_l_C	0,91334	0,08476	-0,98812	-0,73287	-0,87905	-0,49998	-1,16883	0,95013	NA	1,06356	NA
Coffee_l_C	-0,12819	-0,50264	-0,91119	-0,58541	0,71254	-0,20433	-0,56934	0,85787	NA	-0,49524	NA
