crop,state,site,year,transect,honey_bee,bumble_bee,xylocopa,other_bee,syrphid,wild_bees,all_bees,mean_berry_wt_open_minus_bagged,mean_berry_wt_hand_minus_open,mean_berry_wt_open,mean_berry_wt_bagged,mean_berry_wt_hand,fruit_set_open,fruit_set_bagged,fruit_set_hand
blueberry,bc,5,2015,25,7.5,1.25,0,0.5,0.25,1.75,9.25,0.266501683,0.4489487,0.853882166,0.587380482,1.302830865,0.885943826,0.850271739,0.902619949
blueberry,bc,5,2015,50,4.75,4,0,0.5,0,4.5,9.25,0.769883953,-0.047653015,1.283136984,0.51325303,1.235483969,1.027083333,0.817391304,1.051568315
blueberry,bc,5,2015,100,8,1.75,0,0.25,0.5,2,10,0.764671529,0.224016755,1.287936629,0.5232651,1.511953384,1.013731061,0.985119048,0.985858586
blueberry,bc,6,2013,0,5.5,1,0,0,0,1,6.5,0.350581113,0.265452227,0.976435017,0.625853904,1.241887245,0.8304155,0.658593599,0.912824675
blueberry,bc,6,2013,25,3,6,0,0,0,6,9,0.526240063,-0.073009608,1.076264965,0.550024902,1.003255357,0.941176471,0.92777688,0.95
blueberry,bc,6,2013,50,8.5,7,0,0,0,7,15.5,0.59089712,0.108967972,0.949182143,0.358285023,1.058150115,0.935606061,0.912546518,0.950588768
blueberry,bc,6,2013,100,6.5,6.5,0,0,0,6.5,13,0.489206577,0.136127387,0.907516941,0.418310364,1.043644328,0.847222222,0.90878268,0.945833333
blueberry,bc,6,2014,0,5.333333333,0,0,1.666666667,0,1.666666667,7,-0.114694444,0.536689542,0.413643791,0.528338235,0.950333333,1.09375,0.879545455,0.973684211
blueberry,bc,6,2014,25,4,1,0,0.666666667,0,1.666666667,5.666666667,0.210466763,0.222456347,0.872644737,0.662177973,1.095101084,1.036616162,0.926468097,0.970112179
blueberry,bc,6,2014,50,3.333333333,0.666666667,0,0.333333333,0,1,4.333333333,0.157624085,0.018312477,0.773273657,0.615649573,0.791586134,0.846363636,1,1.501893939
blueberry,bc,6,2014,100,5,1.333333333,0,0.666666667,0,2,7,0.350740442,0.146231945,1.029551048,0.678810606,1.175782992,1.018369565,0.954166667,1.000869565
blueberry,bc,7,2013,0,12,1.5,0,0,0,1.5,13.5,0.904766223,0.112162312,1.276154354,0.371388131,1.388316667,0.851636905,0.785701232,0.992966752
blueberry,bc,7,2013,25,11.5,2.5,0,0,0,2.5,14,0.423605389,-0.063055989,1.108389502,0.684784114,1.045333514,0.926767677,0.820947967,1
blueberry,bc,7,2013,50,14.5,1,0,0,0,1,15.5,0.38973229,0.277241424,1.026927632,0.637195341,1.304169056,0.887154512,0.750361481,0.970238095
blueberry,bc,7,2013,100,9,0.5,0,0,0,0.5,9.5,0.512654331,0.110496098,1.178089583,0.665435252,1.288585681,0.864035088,0.809210526,0.902556818
blueberry,bc,7,2014,0,4,0.333333333,0,0,0,0.333333333,4.333333333,0.337046417,0.102947324,0.723607023,0.386560606,0.826554348,0.976190476,1.047222222,1.016339869
blueberry,bc,7,2014,25,2.666666667,0.666666667,0,0,0,0.666666667,3.333333333,0.21169468,0.399653082,0.777238477,0.565543797,1.17689156,0.907543103,0.880324074,0.951190476
blueberry,bc,7,2014,50,4,0.333333333,0,0,0,0.333333333,4.333333333,0.315371122,0.409765373,0.629020025,0.313648903,1.038785398,0.937758799,0.720295771,0.953912467
blueberry,bc,7,2014,100,2.333333333,0,0,0,0,0,2.333333333,0.12024956,0.542134691,0.575417652,0.455168091,1.117552342,1.025297619,0.858413356,1.06155303
blueberry,bc,7,2015,0,14.25,0,0,0,0.5,0,14.25,0.55830305,0.348666785,0.652887153,0.094584103,1.001553938,0.945797721,0.747081044,0.946232057
blueberry,bc,7,2015,25,22,0.25,0,0,1.75,0.25,22.25,0.501193015,0.377648225,0.705370842,0.204177827,1.083019067,0.83984127,0.881944444,0.961064593
blueberry,bc,7,2015,50,21.75,1.25,0,0,0.5,1.25,23,1.037308342,-0.112102296,1.100448873,0.06314053,0.988346576,0.90273569,0.731941569,0.960472203
blueberry,bc,7,2015,100,20.25,1.25,0,0,0.25,1.25,21.5,0.586392666,0.44531542,0.837389614,0.250996947,1.282705034,0.864210526,0.741555244,0.93452381
blueberry,bc,8,2013,25,3.5,1.5,0,0,0,1.5,5,0.612292293,-0.012369784,1.271435855,0.659143562,1.259066071,0.9875,0.810727467,1.001136364
blueberry,bc,8,2013,50,6,0,0,0,0,0,6,0.707149206,0.169713194,1.276177679,0.569028472,1.445890873,0.841812865,0.685818713,0.9875
blueberry,bc,8,2013,100,6,1,0,0,0,1,7,0.631176845,0.030985192,1.098218146,0.467041301,1.129203338,0.933333333,0.910936041,1.170985328
blueberry,bc,8,2014,0,4,0,0,0,0,0,4,0.631820091,0.333313056,0.842849564,0.211029474,1.17616262,0.972972973,0.87654321,1.045679012
blueberry,bc,8,2014,25,4,0,0,0,0,0,4,0.763436903,-0.029328308,0.96102337,0.197586466,0.931695062,0.959558824,0.892857143,0.885508226
blueberry,bc,8,2014,50,8,0.666666667,0,0,0.333333333,0.666666667,8.666666667,0.824166667,1.103880952,1.258214286,0.434047619,2.362095238,1.076923077,0.954545455,0.807692308
blueberry,bc,8,2014,100,6,1,0,0,0,1,7,0.512652748,0.592251249,0.757777778,0.24512503,1.350029027,1,1.090483859,0.924775707
blueberry,bc,9,2013,0,5.5,0.5,0,0,0,0.5,6,0.594754869,0.353409179,1.311121376,0.716366507,1.664530556,0.899795322,1.025,0.963095238
blueberry,bc,9,2013,25,7.5,0.5,0,0,0,0.5,8,0.554873357,0.225421338,1.242661995,0.687788638,1.468083333,0.965367965,0.95,0.988095238
blueberry,bc,9,2013,50,3.5,1,0,0,0,1,4.5,0.364249762,0.108295229,1.028152236,0.663902474,1.136447466,0.923869048,0.883733974,0.959871176
blueberry,bc,9,2013,100,3.5,0,0,0,0,0,3.5,0.244646154,0.447535822,0.872471726,0.627825572,1.320007548,0.911033979,0.912878788,0.93
blueberry,bc,9,2014,0,1.333333333,0,0,0,0,0,1.333333333,0.633208225,0.196396123,1.224612981,0.591404756,1.421009104,0.858907397,0.863285024,0.835714286
blueberry,bc,9,2014,25,2.666666667,0,0,0,0,0,2.666666667,-0.644897467,1.041380342,0.899966575,1.544864042,1.941346917,0.891776276,0.806615188,0.912141148
blueberry,bc,9,2014,50,1.666666667,0,0,0,0,0,1.666666667,0.587101264,0.374991247,0.953041667,0.365940402,1.328032914,0.95031746,0.904401154,0.885416667
blueberry,bc,9,2014,100,0.666666667,0,0,0,0,0,0.666666667,0.095821551,1.217483782,0.566265057,0.470443506,1.783748839,0.9075,0.891856061,0.97090181
blueberry,bc,9,2015,0,12.25,0,0,0,0.25,0,12.25,0.979424356,0.254975323,1.256446105,0.277021749,1.511421429,0.887310606,0.866918103,0.981043956
blueberry,bc,9,2015,25,19,0.25,0,0,0.25,0.25,19.25,0.820094698,0.866427239,1.311773614,0.491678916,2.178200854,0.863636364,0.763259109,0.942045455
blueberry,bc,9,2015,50,14.75,0.75,0,0,0,0.75,15.5,0.898389698,-0.007180248,1.371363725,0.472974027,1.364183477,0.867694805,0.872370108,0.937137862
blueberry,bc,9,2015,100,17.5,0,0,0,0.5,0,17.5,0.772938342,0.57598448,1.102369907,0.329431566,1.678354388,0.848276942,0.813397129,0.990025253
blueberry,bc,10,2013,0,3,0,0,0,0,0,3,0.286109465,0.204215575,0.858640278,0.572530812,1.062855853,1.00625,0.926809211,0.998611111
blueberry,bc,10,2013,25,11,0.5,0,0,0,0.5,11.5,0.324677353,0.532661833,0.854012374,0.52933502,1.386674206,0.914698511,0.858669109,0.919444444
blueberry,bc,10,2013,50,8,0.5,0,0,0,0.5,8.5,0.20016653,0.418785714,0.778252976,0.578086446,1.19703869,0.956702899,0.916803925,0.928373016
blueberry,bc,10,2013,100,6.5,0,0,0,0,0,6.5,0.399454993,0.365193525,1.031507937,0.632052945,1.396701462,0.869746377,0.871628691,0.953003721
blueberry,bc,10,2014,0,3,0.333333333,0,0,0,0.333333333,3.333333333,0.178948023,0.273193102,0.509261923,0.3303139,0.782455025,1.041666667,0.924603175,0.975480769
blueberry,bc,10,2014,25,3.666666667,0,0,0,0,0,3.666666667,-0.182065187,0.468108384,0.660711202,0.842776389,1.128819586,1.078366597,1.006931391,0.9625
blueberry,bc,10,2014,50,1,0,0,0,0.333333333,0,1,0.103313301,0.331386141,0.771867105,0.668553804,1.103253247,0.992955875,0.923280423,0.98110766
blueberry,bc,10,2014,100,1.333333333,0,0,0,0,0,1.333333333,0.061520736,0.893982259,0.679751087,0.618230351,1.573733346,1.010822511,0.981153846,0.916666667
blueberry,bc,10,2015,0,22.75,0,0,0,0,0,22.75,0.774945863,0.046338405,1.086342404,0.311396542,1.13268081,0.987208643,0.920833333,0.91487395
blueberry,bc,10,2015,25,25.25,0.25,0,0,0,0.25,25.5,1.081895304,0.301346317,1.306428175,0.22453287,1.607774491,0.954707792,0.949113387,0.980914918
blueberry,bc,10,2015,50,27.25,0.25,0,0,0,0.25,27.5,0.980312497,-0.101161655,1.451140996,0.470828499,1.349979342,0.880082528,1.059771882,1.106134085
blueberry,bc,10,2015,100,29.75,0.25,0,0,0.5,0.25,30,1.246988423,0.035952404,1.446522141,0.199533717,1.482474545,1.050937766,0.811684783,0.953198213
blueberry,bc,11,2013,0,5.5,5,0,0,0,5,10.5,0.755431106,0.428385125,1.388840035,0.633408929,1.81722516,0.877882082,0.702805648,1.021374459
blueberry,bc,11,2013,25,2,3,0,0,0,3,5,0.628957981,0.257288085,1.216055398,0.587097416,1.473343483,1.057936508,1.256944444,0.954365079
blueberry,bc,11,2013,50,1,3.5,0,0,0,3.5,4.5,0.416925806,0.356291337,1.187839803,0.770913997,1.54413114,0.788925439,0.957575758,0.955065359
blueberry,bc,11,2013,100,2,2.5,0,0,0,2.5,4.5,0.545020992,0.347743959,0.990757464,0.445736472,1.338501423,0.88121118,0.87605042,0.930248918
blueberry,bc,11,2014,0,6.666666667,2.333333333,0,0,0.333333333,2.333333333,9,0.842722424,0.356670519,1.321621405,0.478898981,1.678291924,0.916666667,0.885551948,0.977225673
blueberry,bc,11,2014,25,7,3.333333333,0,0,0.333333333,3.333333333,10.33333333,-0.121057869,0.979534114,0.684797541,0.805855409,1.664331654,0.954074498,1.16713352,0.953968254
blueberry,bc,11,2014,50,4,2.333333333,0,0,0,2.333333333,6.333333333,0.354078944,0.549324602,0.847970238,0.493891294,1.39729484,0.975478469,0.947295322,0.973713235
blueberry,bc,11,2014,100,5.333333333,2.666666667,0,0,0,2.666666667,8,0.642999451,0.639413518,1.144129412,0.50112996,1.783542929,0.936507937,0.96969697,0.91954023
blueberry,bc,12,2013,0,10,1,0,0.5,0,1.5,11.5,0.417570744,0.235447311,1.005291578,0.587720833,1.240738889,1,0.921026584,0.973684211
blueberry,bc,12,2013,25,6.5,1,0,0,0,1,7.5,0.198378799,0.597509077,0.906148748,0.707769949,1.503657826,0.939538043,0.7875,0.952991453
blueberry,bc,12,2013,50,5,0,0,0,0,0,5,0.648211039,0.265692103,1.071816919,0.42360588,1.337509023,0.980769231,1.06006016,0.982638889
blueberry,bc,12,2013,100,7,1.5,0,0,0,1.5,8.5,0.504704066,0.132240174,1.170754348,0.666050282,1.302994521,0.961640212,0.964171245,0.979166667
blueberry,bc,12,2014,0,9.333333333,0,0,0,0,0,9.333333333,0.337335644,0.447640438,0.715684641,0.378348996,1.163325079,0.950396825,0.912014163,0.93261693
blueberry,bc,12,2014,25,5.333333333,0.666666667,0,0,0,0.666666667,6,0.174890421,0.790655979,0.729171402,0.55428098,1.519827381,0.969166667,0.921825397,0.989231602
blueberry,bc,12,2014,50,3.333333333,0,0,0,0,0,3.333333333,0.728256424,0.556766187,1.065366984,0.33711056,1.622133171,0.896372877,0.808721405,1.037562657
blueberry,bc,12,2014,100,2.333333333,0.666666667,0,0,0,0.666666667,3,0.626587126,0.225252964,1.072443182,0.445856056,1.297696146,0.968344156,0.887962963,0.975679876
blueberry,bc,12,2015,0,17,0.25,0,0,0,0.25,17.25,0.806139684,0.304459131,1.402642094,0.59650241,1.707101225,0.725414079,0.795483059,0.689086219
blueberry,bc,12,2015,25,14.75,0,0,0,0.25,0,14.75,0.713177353,0.54082207,1.305871955,0.592694602,1.846694025,0.411383929,0.71686032,0.45884647
blueberry,bc,12,2015,50,12.5,0.25,0,0.25,0.5,0.5,13,0.947530233,-0.164762255,1.576006005,0.628475772,1.41124375,0.525925926,0.602738095,0.763368316
blueberry,bc,12,2015,100,15.25,0,0,0,0.5,0,15.25,1.235780456,0.013206088,1.719429094,0.483648638,1.732635182,0.447317157,0.706479978,0.586874945
blueberry,bc,13,2013,0,5,0.5,0,0,0,0.5,5.5,0.707604167,0.182613775,1.408923611,0.701319444,1.591537387,1.013157895,0.820833333,0.930555556
blueberry,bc,13,2013,25,5.5,1.5,0,0,0,1.5,7,0.362875694,0.294971181,0.995156944,0.63228125,1.290128125,0.773076923,0.908333333,0.806746032
blueberry,bc,13,2013,50,4.5,1,0,0,0,1,5.5,0.671719444,0.143393026,1.358469444,0.68675,1.501862471,1.704517705,0.756410256,1.22073678
blueberry,bc,13,2013,100,4,0.5,0,0,0,0.5,4.5,0.552433333,-0.082046429,1.3726,0.820166667,1.290553571,0.55952381,0.754545455,0.666666667
blueberry,bc,13,2014,0,9.666666667,0.333333333,0,0,0,0.333333333,10,0.346887949,0.235178803,1.062745092,0.715857143,1.297923895,0.886830357,0.573007246,0.872735507
blueberry,bc,13,2014,25,7.333333333,0,0,0.666666667,0,0.666666667,8,0.429424681,-0.041167159,1.069375493,0.639950812,1.028208333,0.883819079,0.735596433,0.691885965
blueberry,bc,13,2014,50,9.333333333,1,0,0.333333333,0,1.333333333,10.66666667,0.244142277,0.33515,1.039939286,0.795797009,1.375089286,0.733333333,0.839923187,0.837405303
blueberry,bc,13,2014,100,7.666666667,0.666666667,0,0,0,0.666666667,8.333333333,0.600474149,-0.117082156,1.176682483,0.576208333,1.059600327,0.664616402,0.741319444,0.637287152
blueberry,bc,13,2015,0,10.66666667,0.333333333,0,0,1,0.333333333,11,0.524074417,0.193765953,0.90672972,0.382655303,1.100495674,1.02173913,0.775641026,0.881368631
blueberry,bc,13,2015,25,13.66666667,0.666666667,0,0,0,0.666666667,14.33333333,0.448733371,0.195959462,1.012010564,0.563277193,1.207970026,0.880769231,0.760736622,0.975441919
blueberry,bc,13,2015,50,13.66666667,0.333333333,0,0,0.333333333,0.333333333,14,0.791886115,0.526846902,1.000506583,0.208620468,1.527353484,0.882699275,0.787445887,0.889927536
blueberry,bc,13,2015,100,11.33333333,1.333333333,0,0,1,1.333333333,12.66666667,0.612479514,0.146258461,0.854503125,0.242023611,1.000761586,0.681985294,0.538824079,0.742744883
blueberry,bc,14,2013,0,3.5,2.5,0,0,0,2.5,6,0.548436815,0.200538033,0.960463687,0.412026872,1.16100172,0.908816425,0.840759569,1.033297265
blueberry,bc,14,2013,25,10.5,2,0,0,0,2,12.5,0.605996049,0.287033326,0.950776001,0.344779952,1.237809327,0.865823587,0.938862307,0.988330201
blueberry,bc,14,2013,50,10.5,5,0,0,0,5,15.5,0.605416414,0.488537045,0.895208333,0.289791919,1.383745379,0.788902403,0.747463768,0.897916667
blueberry,bc,14,2014,0,1.333333333,0.666666667,0,0.666666667,0,1.333333333,2.666666667,0.339075425,0.736734448,0.76103227,0.421956845,1.497766718,0.972371795,0.90922619,0.868990385
blueberry,bc,14,2014,25,1.666666667,0.333333333,0,0,0,0.333333333,2,0.566110402,0.766513508,0.959362005,0.393251603,1.725875513,0.973505435,0.857638889,0.910453216
blueberry,bc,14,2014,50,2,0,0,0,0,0,2,0.46781875,0.891513636,0.77785,0.31003125,1.669363636,0.909090909,1.142857143,1
blueberry,bc,14,2014,100,1,0,0,0,0,0,1,0.31499007,0.613547052,0.890400298,0.575410227,1.50394735,0.977272727,1.004166667,0.954761905
blueberry,bc,15,2013,0,6,0,0,0.5,0,0.5,6.5,0.492646232,-0.12113265,0.818547422,0.32590119,0.697414773,0.777777778,0.83126935,0.685496607
blueberry,bc,15,2013,25,7,0.5,0,0,0,0.5,7.5,-0.010491258,0.242018856,0.421233742,0.431725,0.663252597,0.834325397,0.870364833,0.771784949
blueberry,bc,15,2013,50,4.5,0.5,0,0,0,0.5,5,0.206244443,0.061915091,0.57170723,0.365462787,0.633622321,0.834375,0.897916667,0.812479575
blueberry,bc,15,2013,100,6.5,0,0,0,0,0,6.5,0.140576036,0.155557164,0.514045758,0.373469722,0.669602922,0.822690217,0.810526316,0.892857143
blueberry,bc,15,2014,0,1,0,0,0,0,0,1,0.631820091,0.333313056,0.842849564,0.211029474,1.17616262,1.182780183,0.856945524,1.116874003
blueberry,bc,15,2014,25,1.666666667,0,0,0,0.333333333,0,1.666666667,0.763436903,-0.029328308,0.96102337,0.197586466,0.931695062,0.972222222,0.906041843,1.021475257
blueberry,bc,15,2014,50,0.666666667,0,0,0,0,0,0.666666667,0.824166667,1.103880952,1.258214286,0.434047619,2.362095238,1.4,0.875,0.954545455
blueberry,bc,15,2014,100,1.333333333,0,0,0,0.666666667,0,1.333333333,0.512652748,0.592251249,0.757777778,0.24512503,1.350029027,0.869289714,1.35634058,1.012204424
blueberry,bc,15,2015,0,11.5,0,0,0,0.75,0,11.5,0.420844189,-0.072045646,0.763019363,0.342175175,0.690973718,0.672443182,0.771949891,0.636387164
blueberry,bc,15,2015,25,10.25,0.25,0,0,0,0.25,10.5,0.433708657,0.004855241,0.677598935,0.243890278,0.682454175,0.566136364,0.682359307,0.9125
blueberry,bc,15,2015,50,8.25,0,0,0,0,0,8.25,0.5783013,0.221704801,0.716119008,0.137817708,0.93782381,0.665584416,0.526315789,0.776488095
blueberry,bc,15,2015,100,7.25,0.25,0,0,0,0.25,7.5,0.227515059,0.198669477,0.816903885,0.589388826,1.015573362,0.742099567,0.480822981,0.829751318
blueberry,bc,16,2013,0,3.5,0,0,0,0,0,3.5,0.130696127,0.362414765,0.783859633,0.653163506,1.146274399,0.996520749,0.95,0.923581049
blueberry,bc,16,2013,25,2.5,0,0,0.5,0,0.5,3,-0.225942728,0.655330511,0.690133991,0.91607672,1.345464502,1.007130125,0.942690058,1.085990338
blueberry,bc,16,2013,50,2.5,0,0,0,0,0,2.5,0.290511785,0.384587149,0.835392256,0.544880471,1.219979405,0.888571429,0.910493827,0.858627451
blueberry,bc,16,2013,100,1.5,0,0,0,0,0,1.5,0.421061272,0.309853526,0.942112125,0.521050852,1.251965651,0.806252323,0.66241361,0.869565217
blueberry,bc,16,2014,0,6.333333333,0.333333333,0,0,0,0.333333333,6.666666667,0.33907056,-0.007591292,1.038802831,0.699732271,1.031211538,0.937391304,0.692619048,0.98676274
