Gen_sp,det,study,site,date,latitude,longitude
Lasioglossum pilosum,J_Gibbs,njpa2004crops_spec_pepper,tra,2004-07-17,40.565421,-75.183657
Lasioglossum hitchensi_weemsi,J_Gibbs,njpa2004crops_spec_pepper,sun,2004-07-06,40.305783,-75.404887
Lasioglossum admirandum,J_Gibbs,njpa2004crops_spec_pepper,ray,2004-07-08,40.319004,-75.374384
Lasioglossum georgeickworti,J_Gibbs,njpa2004crops_spec_pepper,ray,2004-07-08,40.319004,-75.374384
Lasioglossum versatum,J_Gibbs,njpa2004crops_spec_pepper,ced,2004-07-15,40.334446,-75.355597
Lasioglossum versatum,J_Gibbs,njpa2004crops_spec_pepper,wil,2004-07-17,40.193783,-75.369527
Lasioglossum versatum,J_Gibbs,njpa2004crops_spec_pepper,pen,2004-07-20,40.436837,-75.173482
Lasioglossum versatum,J_Gibbs,njpa2004crops_spec_pepper,pen,2004-07-20,40.436837,-75.173482
Lasioglossum versatum,J_Gibbs,njpa2004crops_spec_pepper,pen,2004-07-20,40.436837,-75.173482
Lasioglossum versatum,J_Gibbs,njpa2004crops_spec_pepper,pen,2004-07-20,40.436837,-75.173482
Lasioglossum versatum,J_Gibbs,njpa2004crops_spec_pepper,trad,2004-07-07,40.630738,-75.111263
Lasioglossum versatum,J_Gibbs,njpa2004crops_spec_pepper,ker,2004-07-06,40.341841,-74.767891
Lasioglossum versatum,J_Gibbs,njpa2004crops_spec_pepper,mis,2004-07-10,40.537006,-74.920974
Lasioglossum versatum,J_Gibbs,njpa2004crops_spec_pepper,mis,2004-07-10,40.537006,-74.920974
Lasioglossum versatum,J_Gibbs,njpa2004crops_spec_pepper,ter,2004-07-15,40.328231,-74.727012
Lasioglossum versatum,J_Gibbs,njpa2004crops_spec_pepper,ter,2004-07-15,40.328231,-74.727012
Lasioglossum versatum,J_Gibbs,njpa2004crops_spec_pepper,hop,2004-07-16,40.399283,-74.76006
Lasioglossum versatum,J_Gibbs,njpa2004crops_spec_pepper,spr,2004-07-16,40.381168,-74.757792
Lasioglossum versatum,J_Gibbs,njpa2004crops_spec_pepper,tra,2004-07-17,40.565421,-75.183657
Lasioglossum versatum,J_Gibbs,njpa2004crops_spec_pepper,sny,2004-07-21,40.557416,-74.962427
Lasioglossum imitatum,J_Gibbs,njpa2004crops_spec_pepper,wil,2004-07-17,40.193783,-75.369527
Lasioglossum ephialtum,J_Gibbs,njpa2004crops_spec_pepper,del,2004-07-26,40.29578,-75.15059
Lasioglossum subviridatum,J_Gibbs,njpa2004crops_spec_pepper,hop,2004-07-16,40.399283,-74.76006
Lasioglossum ephialtum,J_Gibbs,njpa2004crops_spec_pepper,del,2004-07-26,40.29578,-75.15059
Lasioglossum georgeickworti,J_Gibbs,njpa2004crops_spec_pepper,sny,2004-07-21,40.557416,-74.962427
Lasioglossum tegulare,J_Gibbs,njpa2004crops_spec_pepper,sun,2004-07-06,40.305783,-75.404887
Lasioglossum tegulare,J_Gibbs,njpa2004crops_spec_pepper,map,2004-07-07,40.110473,-75.269047
Lasioglossum tegulare,J_Gibbs,njpa2004crops_spec_pepper,del,2004-07-26,40.29578,-75.15059
Lasioglossum tegulare,J_Gibbs,njpa2004crops_spec_pepper,del,2004-07-26,40.29578,-75.15059
Lasioglossum tegulare,J_Gibbs,njpa2004crops_spec_pepper,lee,2004-07-09,40.264987,-74.563608
Lasioglossum tegulare,J_Gibbs,njpa2004crops_spec_pepper,che,2004-07-16,40.311204,-74.715919
Lasioglossum tegulare,J_Gibbs,njpa2004crops_spec_pepper,che,2004-07-16,40.311204,-74.715919
Lasioglossum tegulare,J_Gibbs,njpa2004crops_spec_pepper,spr,2004-07-16,40.381168,-74.757792
Lasioglossum zephyrum,J_Gibbs,njpa2004crops_spec_pepper,sun,2004-07-06,40.305783,-75.404887
Lasioglossum zephyrum,J_Gibbs,njpa2004crops_spec_pepper,map,2004-07-07,40.110473,-75.269047
Lasioglossum zephyrum,J_Gibbs,njpa2004crops_spec_pepper,ray,2004-07-08,40.319004,-75.374384
Lasioglossum zephyrum,J_Gibbs,njpa2004crops_spec_pepper,che,2004-07-16,40.311204,-74.715919
