crop,state,site,year,transect,honey_bee,anthophora,dialictus,halictus,hylaeus,melissodes,peponapis,triepeolus,fly,wild_bees,all_bees,number_of_fruit_mean,kg_per_m2_mean
watermelon,ca,10,2013,100,0.41,0,0.01,0.02,0,0,0,0,0,0.03,0.44,10.7,7.922222222
watermelon,ca,11,2013,0,0.725,0,0.065,0.01,0,0,0,0,0.035,0.075,0.8,13.45,13.86222222
watermelon,ca,11,2013,25,0.88,0,0.025,0,0,0,0,0,0.05,0.025,0.905,14.55,18.35111111
watermelon,ca,11,2013,50,0.72,0,0.015,0,0,0,0,0,0.035,0.015,0.735,16.4,20.07777778
watermelon,ca,11,2013,100,0.69,0,0.025,0,0,0,0,0,0.02,0.025,0.715,15.9,20.04666667
watermelon,ca,12,2015,0,0.48125,0,0.0125,0.025,0.00625,0,0,0,0.0125,0.05,0.53125,8.8,14.64711111
watermelon,ca,12,2015,25,0.475,0,0.00625,0,0,0,0,0,0.025,0.00625,0.48125,11.9,18.39211111
watermelon,ca,12,2015,50,0.4375,0,0.00625,0.00625,0.0125,0,0,0,0.0125,0.025,0.4625,11.45,17.91288889
watermelon,ca,12,2015,100,0.51875,0,0.0125,0,0,0,0,0,0.03125,0.0125,0.53125,9.95,15.70994444
watermelon,ca,13,2014,0,0.75625,0,0.025,0,0,0,0,0,0.01875,0.025,0.78125,8.55,15.78888889
watermelon,ca,13,2014,25,0.6,0,0.0125,0,0,0,0,0,0.00625,0.0125,0.6125,12.45,19.91333333
watermelon,ca,13,2014,50,0.3875,0,0.00625,0,0,0,0,0,0.03125,0.00625,0.39375,13.45,23.24888889
watermelon,ca,13,2014,100,0.38125,0,0.00625,0.00625,0,0,0,0,0.00625,0.0125,0.39375,11.35,19.68222222
watermelon,ca,14,2014,0,0.29375,0,0.00625,0,0,0,0,0,0.025,0.00625,0.3,9,22.74444444
watermelon,ca,14,2014,25,0.26875,0,0.00625,0,0,0,0,0,0.0625,0.00625,0.275,11.3,22.93777778
watermelon,ca,14,2014,50,0.43125,0,0,0,0,0,0,0,0.01875,0,0.43125,12.45,25.6
watermelon,ca,14,2014,100,0.30625,0,0,0,0,0,0,0,0.05625,0,0.30625,12,23.78666667
watermelon,ca,15,2014,0,0.325,0,0.0125,0.00625,0,0,0,0,0.025,0.01875,0.34375,3.4,11.58
watermelon,ca,15,2014,25,0.275,0,0,0.0125,0,0,0,0,0.0125,0.0125,0.2875,3.4,11.38222222
watermelon,ca,15,2014,50,0.25625,0,0,0.0125,0,0,0.00625,0,0.0125,0.01875,0.275,4.35,13.83333333
watermelon,ca,16,2013,0,0.72361809,0,0.010050251,0.020100503,0,0.010050251,0,0.005025126,0.005025126,0.045226131,0.768844221,9.8,12.16555556
watermelon,ca,16,2013,25,0.75,0,0,0.015,0,0,0,0,0.04,0.015,0.765,11.7,14.29777778
watermelon,ca,16,2013,50,0.655,0,0.005,0,0,0,0,0,0.03,0.005,0.66,11.8,11.71333333
watermelon,ca,16,2013,100,0.75,0,0.005,0.01,0,0,0,0,0.05,0.015,0.765,11.45,12.53111111
watermelon,ca,17,2014,0,0.8375,0,0.0375,0.00625,0,0,0,0.00625,0,0.05,0.8875,8.45,17.49555556
watermelon,ca,17,2014,25,0.69375,0,0.00625,0,0,0,0,0,0,0.00625,0.7,9.95,15.14222222
watermelon,ca,17,2014,50,0.78125,0,0.04375,0.00625,0,0,0,0,0,0.05,0.83125,10,16.55555556
watermelon,ca,17,2014,100,0.59375,0,0.03125,0,0,0,0,0,0,0.03125,0.625,9.25,15.69555556
