Field	Site	Plot	SeedxPod1	SeedxPod2	SeedxPod3	SeedxPod4	SeedxPod5	SeedxPod6	SeedxPod7	SeedxPod8	SeedxPod9	SeedxPod10	SeedxPod11	SeedxPod12	SeedxPod13	SeedxPod14	SeedxPod15	SeedxPod16	SeedxPod17	SeedxPod18	SeedxPod19	SeedxPod20	Weight_g_1	Weight_g_2	Weight_g_3
site_4	Edge	1	30	29	21	32	29	28	27	23	30	30	33	22	29	33	35	24	29	19	33	31	0.633	0.558	0.661
site_4	Edge	2	34	29	33	8	31	40	33	36	31	25	32	35	29	40	25	25	24	23	33	30	0.458	0.550	0.572
site_4	Edge	3	33	27	28	31	29	21	28	26	33	32	22	33	36	20	19	27	28	31	25	30	0.506	0.521	0.511
site_4	Edge	4	18	31	34	19	30	36	35	31	30	35	27	29	31	28	27	36	19	28	30	36	0.505	0.475	0.372
site_4	Crop_Edge	C	30	31	24	17	24	28	24	22	25	34	36	22	28	30	19	17	31	25	28	24	0.572	0.629	0.526
site_4	Crop	1	25	28	33	32	19	34	20	19	29	28	32	27	36	18	20	25	31	30	27	34	0.509	0.516	0.506
site_4	Crop	2	26	23	26	16	29	10	20	23	23	25	27	26	27	29	30	29	26	28	24	19	0.537	0.528	0.559
site_4	Crop	3	17	22	27	27	30	9	29	21	24	28	27	25	30	30	24	22	30	20	20	30	0.609	0.567	0.596
site_4	Crop	4	26	33	32	32	35	33	20	30	32	31	34	30	29	30	31	25	26	33	36	31	0.510	0.513	0.549
site_4	Control_Crop	C	27	35	33	28	25	25	21	20	28	26	14	25	28	31	30	30	20	19	14	33	0.620	0.474	0.515
site_5	Edge	1	36	30	34	33	37	33	28	31	37	8	30	33	29	40	33	31	27	25	33	29	0.523	0.531	0.524
site_5	Edge	2	30	31	33	37	31	31	29	25	31	38	40	37	29	33	31	31	28	27	30	30	0.534	0.595	0.499
site_5	Edge	3	22	37	45	31	39	25	39	28	21	29	30	20	33	35	40	26	33	31	30	30	0.528	0.449	0.440
site_5	Edge	4	45	37	39	25	42	34	22	37	40	39	33	29	22	25	40	39	33	36	27	22	0.531	0.481	0.493
site_5	Crop_Edge	C	37	40	40	38	40	35	11	37	23	30	40	29	35	33	37	24	29	30	36	31	0.465	0.447	0.466
site_5	Crop	1	32	27	32	25	22	40	21	18	28	30	39	35	25	21	19	22	26	33	26	30	0.604	0.518	0.459
site_5	Crop	2	23	33	37	32	37	28	33	27	26	30	16	30	27	19	25	33	31	27	26	25	0.474	0.493	0.425
site_5	Crop	3	30	22	36	26	34	33	20	28	30	38	33	30	26	29	30	33	26	20	31	29	0.633	0.560	0.603
site_5	Crop	4	33	31	39	37	34	32	31	31	35	40	33	31	29	30	40	32	31	31	34	39	0.410	0.443	0.450
site_5	Control_Crop	C	19	24	18	26	13	18	24	22	12	22	25	13	13	23	17	20	17	25	29	23	0.586	0.608	0.557
site_6	Edge	1	25	27	32	31	29	30	21	20	34	28	17	18	20	17	31	33	36	32	29	23	0.630	0.559	0.763
site_6	Edge	2	31	33	29	35	36	40	29	24	19	28	33	31	36	33	27	30	29	40	32	33	0.645	0.703	0.688
site_6	Edge	3	31	32	33	36	31	27	31	25	31	26	33	31	35	27	32	31	30	25	36	31	0.619	0.496	0.548
site_6	Edge	4	33	40	35	32	33	30	31	27	36	37	35	40	33	31	29	41	35	33	32	36	0.539	0.547	0.519
site_6	Crop_Edge	C	33	26	29	32	39	39	35	26	30	32	30	29	36	33	31	27	32	34	31	28	0.550	0.509	0.504
site_6	Crop	1	35	21	23	28	28	27	44	25	30	28	32	27	25	33	32	40	30	29	25	27	0.691	0.562	0.663
site_6	Crop	2	33	37	30	33	25	34	33	27	31	29	31	28	33	40	36	23	22	30	31	34	0.557	0.579	0.580
site_6	Crop	3	30	27	35	31	26	30	30	31	27	29	40	28	25	36	35	29	30	31	30	27	0.588	0.613	0.549
site_6	Crop	4	35	21	37	35	27	27	36	33	33	31	30	40	22	35	33	33	31	29	32	32	0.570	0.608	0.499
site_6	Control_Crop	C	37	27	44	32	35	39	38	30	35	31	30	26	27	33	35	39	33	33	31	28	0.676	0.616	0.502
site_7	Edge	1	18	31	25	26	24	25	22	27	29	27	26	25	21	19	27	33	31	30	24	29	0.719	0.711	0.696
site_7	Edge	2	34	26	27	19	28	28	28	26	24	19	16	29	30	31	28	24	19	28	32	31	0.577	0.496	0.536
site_7	Edge	3	27	22	24	33	23	31	24	34	26	22	30	22	33	21	19	27	31	23	24	32	0.449	0.437	0.480
site_7	Edge	4	26	35	23	31	23	28	19	30	31	25	19	27	26	32	20	33	21	25	19	28	0.492	0.464	0.489
site_7	Crop_Edge	C	31	28	22	25	32	29	28	20	27	22	20	31	21	25	30	19	28	29	31	20	0.668	0.761	0.752
site_7	Crop	1	26	30	17	19	14	18	28	14	27	18	28	26	23	27	24	19	32	17	25	24	0.543	0.492	0.509
site_7	Crop	2	17	25	15	23	25	27	18	26	25	19	26	21	28	22	27	30	19	15	25	19	0.545	0.525	0.499
site_7	Crop	3	25	30	22	37	27	19	17	30	27	25	20	27	33	19	28	29	20	31	25	19	0.573	0.600	0.593
site_7	Crop	4	21	33	22	38	26	7	26	31	24	11	6	24	23	24	30	9	21	22	26	14	0.486	0.458	0.473
site_7	Control_Crop	C	30	27	19	27	29	32	26	28	19	23	25	15	35	19	33	18	25	27	31	26	0.479	0.523	0.538
site_8	Edge	1	30	28	29	35	23	30	25	32	31	20	19	23	32	33	27	26	21	30	20	30	0.541	0.450	0.403
site_8	Edge	2	28	30	31	31	36	24	24	24	28	26	33	33	24	23	23	31	20	22	26	22	0.496	0.563	0.550
site_8	Edge	3	30	29	30	27	34	24	28	38	31	28	34	33	29	26	28	31	30	30	29	31	0.563	0.520	0.595
site_8	Edge	4	35	34	30	22	36	36	12	28	37	27	30	29	28	32	37	26	20	37	31	30	0.699	0.515	0.738
site_8	Crop_Edge	C	17	29	30	27	23	22	22	22	23	17	28	30	33	25	26	30	25	22	26	22	0.588	0.517	0.719
site_8	Crop	1	35	33	38	28	31	26	37	30	40	33	33	35	29	36	34	35	30	31	29	36	0.673	0.637	0.615
site_8	Crop	2	34	38	39	37	36	33	33	33	37	29	33	35	36	37	29	31	38	30	35	37	0.660	0.765	0.701
site_8	Crop	3	33	31	32	35	36	30	30	31	29	30	28	26	37	25	25	34	33	33	32	39	0.569	0.679	0.603
site_8	Crop	4	32	31	30	32	35	34	30	34	30	34	37	34	30	29	36	37	31	29	33	33	0.580	0.499	0.667
site_8	Control_Crop	C	22	30	29	28	24	24	30	23	28	26	32	20	33	28	26	20	24	24	30	25	0.672	0.695	0.622
site_9	Edge	1	24	38	37	26	27	21	22	26	27	25	23	28	26	30	31	20	31	33	27	22	0.713	0.617	0.648
site_9	Edge	2	28	29	31	34	33	24	34	29	35	31	26	30	28	33	31	29	28	30	35	23	0.420	0.424	0.580
site_9	Edge	3	39	27	41	40	38	29	38	29	45	37	28	40	38	39	40	26	26	30	33	38	0.576	0.549	0.575
site_9	Edge	4	38	26	48	30	33	31	29	41	30	40	31	27	25	25	30	33	40	33	38	34	0.546	0.648	0.623
site_9	Crop_Edge	C	38	26	40	30	33	31	29	41	30	40	31	27	25	25	30	33	40	33	38	34	0.547	0.526	0.450
site_9	Crop	1	31	32	28	32	40	33	33	28	30	29	41	29	33	30	42	29	35	33	33	36	0.696	0.649	0.694
site_9	Crop	2	38	36	36	39	26	17	26	30	33	23	24	18	25	29	27	30	18	17	26	31	0.546	0.589	0.628
site_9	Crop	3	21	41	37	36	43	20	28	30	35	33	27	40	21	26	19	30	24	31	18	33	0.577	0.445	0.504
site_9	Crop	4	27	20	26	25	18	17	35	27	30	28	19	26	33	30	26	33	30	26	38	25	0.572	0.559	0.548
site_9	Control_Crop	C	15	33	16	30	33	34	35	26	32	34	18	14	20	23	31	26	19	27	24	15	0.570	0.541	0.553
site_10	Edge	1	23	25	21	21	21	19	22	16	21	20	16	16	17	22	22	26	24	17	15	21	0.649	0.513	0.596
site_10	Edge	2	26	12	21	24	30	17	14	23	19	25	26	17	23	19	16	27	29	33	22	16	0.589	0.623	0.645
site_10	Edge	3	23	16	22	29	15	26	28	23	23	26	30	10	18	24	25	26	29	31	33	15	0.703	0.676	0.678
site_10	Edge	4	21	25	25	30	11	16	20	21	22	26	17	31	14	23	26	23	25	24	29	27	0.801	0.697	0.743
site_10	Crop_Edge	C	23	14	23	15	14	16	22	17	16	24	16	24	22	21	23	20	17	27	16	24	0.635	0.651	0.644
site_10	Crop	1	26	33	21	12	16	24	22	21	32	26	26	29	23	25	31	32	30	28	27	25	0.530	0.684	0.640
site_10	Crop	2	18	18	15	21	23	7	21	15	17	23	24	21	28	21	22	27	15	17	25	23	0.614	0.745	0.643
site_10	Crop	3	25	20	22	31	17	11	23	14	23	23	27	18	16	17	18	20	14	25	19	25	0.503	0.462	0.672
site_10	Crop	4	21	26	27	24	21	16	17	19	17	23	13	16	21	19	20	25	15	18	22	28	0.513	0.565	0.485
site_10	Control_Crop	C	20	21	14	24	13	27	14	22	18	13	14	21	18	23	24	25	27	17	28	15	0.708	0.647	0.548
site_11	Edge	1	23	16	13	20	27	31	15	18	19	15	24	27	23	21	24	19	16	33	25	21	0.583	0.598	0.562
site_11	Edge	2	22	21	20	29	24	32	24	29	24	27	26	32	26	25	24	30	22	21	19	22	0.406	0.535	0.427
site_11	Edge	3	19	16	31	21	25	15	20	29	19	24	10	22	13	22	29	15	23	14	29	15	0.564	0.671	0.631
site_11	Edge	4	22	30	23	19	26	28	23	24	25	28	22	23	30	22	33	28	24	19	26	22	0.662	0.808	0.687
site_11	Crop_Edge	C	21	29	26	18	14	26	21	18	26	21	24	22	11	24	28	16	11	10	27	19	0.451	0.398	0.567
site_11	Crop	1	29	29	29	28	32	17	29	26	18	29	29	21	25	21	19	24	28	30	33	19	0.492	0.591	0.553
site_11	Crop	2	29	23	15	26	18	25	28	23	21	23	27	20	24	23	25	16	19	22	30	20	0.540	0.782	0.750
site_11	Crop	3	26	30	14	23	14	20	18	15	17	24	28	31	24	24	21	27	23	20	17	25	0.588	0.630	0.703
site_11	Crop	4	25	24	24	23	19	11	24	24	19	22	29	19	12	19	23	15	25	23	28	19	0.418	0.415	0.311
site_11	Control_Crop	C	29	28	26	29	26	28	36	23	25	27	26	19	23	26	33	25	29	22	27	25	0.688	0.722	0.660
site_12	Edge	1	19	36	26	28	26	27	16	19	26	24	32	30	28	28	26	19	30	31	28	29	0.665	0.606	0.613
site_12	Edge	2	34	23	19	20	21	33	30	25	24	31	25	19	26	27	32	20	33	21	38	35	0.609	0.641	0.688
site_12	Edge	3	28	32	37	22	31	32	36	33	28	19	21	28	31	25	21	26	19	30	28	26	0.361	0.343	0.275
site_12	Edge	4	32	33	33	36	24	38	36	34	36	32	13	9	0	32	17	7	32	33	25	17	0.616	0.495	0.581
site_12	Crop_Edge	C	24	21	25	28	23	14	29	10	31	16	21	20	14	27	29	28	36	10	22	28	0.308	0.300	0.386
site_12	Crop	1	30	10	27	35	3	10	20	13	19	12	15	31	11	31	11	30	14	25	23	10	0.594	0.659	0.649
site_12	Crop	2	21	31	19	22	18	15	26	28	25	19	21	19	26	25	25	36	26	25	20	20	0.549	0.691	0.737
site_12	Crop	3	29	40	33	36	38	40	29	29	34	19	29	35	33	28	39	33	18	32	33	37	0.508	0.602	0.496
site_12	Crop	4	31	15	33	33	27	25	21	18	18	14	19	15	25	18	30	25	27	19	22	25	0.502	0.474	0.440
site_12	Control_Crop	C	37	30	26	32	28	36	24	25	15	23	36	26	31	15	33	17	24	29	30	27	0.428	0.593	0.537
site_13	Edge	1	20	25	27	22	6	17	16	27	21	8	18	24	22	28	7	29	10	25	28	16	0.751	0.783	0.842
site_13	Edge	2	36	15	22	11	18	30	30	18	14	30	8	11	22	17	23	17	25	13	28	16	0.697	0.596	0.684
site_13	Edge	3	20	9	16	6	22	17	17	25	20	23	24	24	7	27	24	25	26	10	22	18	0.590	0.548	0.638
site_13	Edge	4	6	12	15	26	18	24	26	14	5	16	22	22	24	9	27	13	27	24	19	10	0.771	0.825	0.599
site_13	Crop_Edge	C	14	16	10	9	7	27	10	7	22	21	10	8	22	22	28	7	17	8	15	24	0.940	0.879	0.761
site_13	Crop	1	18	20	29	16	23	21	23	19	13	24	25	16	16	25	23	26	11	14	25	27	0.476	0.488	0.517
site_13	Crop	2	26	22	22	16	15	19	26	23	21	20	21	17	29	26	28	28	26	25	21	20	0.599	0.652	0.638
site_13	Crop	3	26	27	19	21	25	20	23	14	23	16	21	28	22	27	19	17	14	21	20	22	0.660	0.629	0.603
site_13	Crop	4	19	22	29	32	21	17	25	20	17	23	20	12	23	16	23	20	22	26	19	25	0.596	0.672	0.724
site_13	Control_Crop	C	18	21	14	16	14	18	27	18	14	16	13	23	20	10	12	22	23	18	19	25	0.515	0.569	0.544
site_14	Edge	1	24	31	31	28	28	27	30	21	28	21	22	26	29	30	19	17	25	24	22	26	0.547	0.718	0.697
site_14	Edge	2	24	26	21	17	33	24	21	22	23	25	18	22	24	22	25	30	19	22	24	26	0.583	0.755	0.534
site_14	Edge	3	10	29	22	24	27	30	28	27	26	24	33	19	18	25	26	22	24	21	25	27	0.635	0.598	0.700
site_14	Edge	4	24	24	22	26	27	24	25	21	24	31	27	24	25	24	27	30	19	27	18	24	0.709	0.613	0.575
site_14	Crop_Edge	C	27	7	21	10	8	31	6	10	16	29	14	7	20	25	29	18	30	10	15	24	0.136	0.134	0.145
site_14	Crop	1	38	33	24	28	38	25	15	31	31	26	35	30	31	28	27	33	15	38	27	25	0.694	0.677	0.703
site_14	Crop	2	30	28	31	29	23	27	21	32	29	24	29	30	26	25	30	28	20	22	25	30	0.587	0.540	0.566
site_14	Crop	3	27	29	25	21	26	30	26	28	28	20	29	23	30	21	21	28	27	26	21	20	0.669	0.689	0.652
site_14	Crop	4	29	28	27	21	26	32	34	31	31	24	29	27	10	33	27	21	24	31	15	24	0.566	0.520	0.576
site_14	Control_Crop	C	31	19	29	20	26	30	32	35	33	32	31	30	25	29	26	19	20	22	36	33	0.547	0.494	0.276
site_15	Edge	1	30	32	28	27	29	31	34	29	33	33	30	28	27	19	33	31	27	29	24	27	0.594	0.580	0.668
site_15	Edge	2	21	23	15	15	14	21	19	15	29	16	23	20	10	11	17	31	27	14	13	30	0.641	0.659	0.700
site_15	Edge	3	21	20	9	33	14	19	25	17	15	28	24	17	24	23	21	15	33	25	19	24	0.660	0.639	0.771
site_15	Edge	4	22	30	29	14	23	13	38	10	11	18	12	15	27	26	12	15	26	24	28	13	0.625	0.505	0.670
site_15	Crop_Edge	C	11	18	22	36	13	23	13	28	22	11	25	30	35	25	36	16	25	26	27	21	0.632	0.804	0.791
site_15	Crop	1	36	36	24	36	32	32	32	24	29	25	16	29	33	26	24	30	22	11	24	32	0.676	0.725	0.781
site_15	Crop	2	17	33	21	15	25	32	29	27	31	21	26	35	18	27	28	23	19	29	17	30	0.745	0.714	0.698
site_15	Crop	3	37	27	27	26	27	30	32	28	20	34	29	33	25	26	32	13	12	34	24	27	0.521	0.655	0.640
site_15	Crop	4	25	32	38	18	33	36	17	28	17	18	36	26	33	34	34	24	37	25	28	7	0.644	0.648	0.644
site_15	Control_Crop	C	36	29	20	32	37	25	32	34	37	33	17	35	35	32	35	26	34	31	36	34	0.643	0.571	0.580
