"Crop_System" "Crop_yield" "Flower_Visitor_Density" "Flower_visitor_richness" "Field_size" "Vis_base" "Inten" "Isolation" "Yield_gap" "Vis_gap" "Dependence" "Latitude" "Longitude"
"111" "Brazil Solanum lycopersicum 2010" 50000 0.178 3 0.5 0.2326 5 0.18 32.6145552560647 74.6512641673932 5 -21.395 -41.923
"112" "Brazil Solanum lycopersicum 2010" 68000 0.748 4 0.5 0.2326 5 0.2 32.6145552560647 74.6512641673932 5 -21.396 -41.926
"113" "Brazil Solanum lycopersicum 2010" 58000 0.238 3 0.5 0.2326 5 0.1 32.6145552560647 74.6512641673932 5 -21.401 -41.928
"114" "Brazil Solanum lycopersicum 2010" 54000 0.694 3 2 0.2326 5 0.6 32.6145552560647 74.6512641673932 5 -21.371 -41.933
"115" "Brazil Solanum lycopersicum 2010" 50000 0.249 2 0.3 0.2326 5 0.28 32.6145552560647 74.6512641673932 5 -21.377 -41.925
"116" "Brazil Solanum lycopersicum 2010" 66000 0.673 5 2.5 0.2326 5 0.05 32.6145552560647 74.6512641673932 5 -21.372 -41.935
"117" "Brazil Solanum lycopersicum 2010" 55000 0.487 2 1 0.2326 5 0.1 32.6145552560647 74.6512641673932 5 -21.408 -41.928
"118" "Brazil Solanum lycopersicum 2010" 55000 0.881 3 2 0.2326 5 0.4 32.6145552560647 74.6512641673932 5 -21.418 -42.013
"119" "Brazil Solanum lycopersicum 2010" 50000 0.394 4 0.3 0.2326 5 0.6 32.6145552560647 74.6512641673932 5 -21.413 -42.015
"120" "Brazil Solanum lycopersicum 2010" 60000 0.479 2 4.5 0.2326 5 0.7 32.6145552560647 74.6512641673932 5 -21.431 -42.029
"121" "Brazil Solanum lycopersicum 2010" 84000 0.692 4 0.5 0.2326 5 0.6 32.6145552560647 74.6512641673932 5 -21.424 -42.027
"122" "Brazil Solanum lycopersicum 2010" 64800 0.22 1 2.5 0.2326 5 1.5 32.6145552560647 74.6512641673932 5 -21.44 -42.017
"123" "Brazil Solanum lycopersicum 2010" 55000 0.382 4 2 0.2326 5 1.2 32.6145552560647 74.6512641673932 5 -21.414 -41.996
"124" "Brazil Solanum lycopersicum 2010" 50000 0.771 6 1 0.2326 5 0.05 32.6145552560647 74.6512641673932 5 -21.399 -41.981
"125" "Brazil Solanum lycopersicum 2010" 70000 1.343 5 0.5 0.2326 5 0.02 32.6145552560647 74.6512641673932 5 -21.418 -41.985
"126" "Brazil Solanum lycopersicum 2010" 96000 0.389 3 0.5 0.2326 5 0.25 32.6145552560647 74.6512641673932 5 -21.415 -41.998
"127" "Brazil Solanum lycopersicum 2011" 45000 0.92 3 1 0.3234 5 0.5 30.952380952381 82.1798545294247 5 -21.405 -41.929
"128" "Brazil Solanum lycopersicum 2011" 50000 1.014 5 1.2 0.3234 5 0.04 30.952380952381 82.1798545294247 5 -21.39 -41.925
"129" "Brazil Solanum lycopersicum 2011" 70000 0.752 4 0.5 0.3234 5 0.1 30.952380952381 82.1798545294247 5 -21.394 -41.923
"130" "Brazil Solanum lycopersicum 2011" 60000 1.044 3 0.5 0.3234 5 0.2 30.952380952381 82.1798545294247 5 -21.388 -41.909
"131" "Brazil Solanum lycopersicum 2011" 51428.57 1.789 6 0.7 0.3234 5 0.1 30.952380952381 82.1798545294247 5 -21.393 -41.911
"132" "Brazil Solanum lycopersicum 2011" 60000 2.083 6 0.5 0.3234 5 0.2 30.952380952381 82.1798545294247 5 -21.392 -41.915
"133" "Brazil Solanum lycopersicum 2011" 50000 0.354 3 0.5 0.3234 5 0.5 30.952380952381 82.1798545294247 5 -21.398 -41.912
"134" "Brazil Solanum lycopersicum 2011" 52500 0.989 4 2 0.3234 5 0.15 30.952380952381 82.1798545294247 5 -21.371 -41.929
"135" "Brazil Solanum lycopersicum 2011" 60000 1.798 6 0.5 0.3234 5 0.4 30.952380952381 82.1798545294247 5 -21.409 -41.93
"136" "Brazil Solanum lycopersicum 2011" 70000 0.851 5 0.5 0.3234 5 0.18 30.952380952381 82.1798545294247 5 -21.417 -41.994
"137" "Brazil Solanum lycopersicum 2011" 46666.67 1.019 4 1.5 0.3234 5 0.9 30.952380952381 82.1798545294247 5 -21.427 -42.03
"138" "Brazil Solanum lycopersicum 2011" 48000 0.612 3 1 0.3234 5 1 30.952380952381 82.1798545294247 5 -21.408 -42.013
"139" "Brazil Solanum lycopersicum 2011" 35000 0.841 4 1 0.3234 5 0.18 30.952380952381 82.1798545294247 5 -21.402 -41.977
"140" "Brazil Solanum lycopersicum 2011" 46666.67 0.181 2 1.5 0.3234 5 1.2 30.952380952381 82.1798545294247 5 -21.421 -42.019
"141" "Brazil Solanum lycopersicum 2011" 45000 1.854 8 1 0.3234 5 0.8 30.952380952381 82.1798545294247 5 -21.433 -42.026
"142" "Brazil Solanum lycopersicum 2011" 50000 1.063 4 1 0.3234 5 0.45 30.952380952381 82.1798545294247 5 -21.411 -42.023
"143" "Brazil Solanum lycopersicum 2011" 50000 0.252 4 3 0.3234 5 0.3 30.952380952381 82.1798545294247 5 -21.415 -41.983
