study_id,pollinator,rank,notes
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Nomada distinguenda,species,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Halictus gemmeus,species,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Andrena rhenana,species,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Parasyrphus punctulatus,species,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Sphecodes ruficrus,species,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Halictus smaragdulus,species,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Andrena sp. 203,morphospecies,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Lasioglossum strictifrons,species,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Lasioglossum albocinctum,species,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Osmia caerulescens,species,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Osmia ligurica,species,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Euphydryas aurinia,species,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Leptotes pirithous,species,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Epistrophe grossulariae,species,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Lasioglossum aeratum,species,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Heriades truncorum,species,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Usia sp. 638,morphospecies,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Aglais io,species,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Nomada sp. 634,morphospecies,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Hoplitis sp. 125,morphospecies,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Lasioglossum sp. 24,morphospecies,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Halictus sp. 278,morphospecies,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Lasioglossum zonulum,species,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Andrena sp. 778,morphospecies,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Andrena sp. 109,morphospecies,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Lasioglossum sp. 444,morphospecies,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Polyommatus icarus,species,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Lasioglossum sp. 680,morphospecies,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Issoria lathonia,species,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Hoplitis cadiza,species,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Hoplitis sp. 558,morphospecies,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Halictus subauratus,species,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Lasioglossum angusticeps,species,
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Sphecodes sp. 94,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Mantodea,order,
Silvia_Castro_Helianthus_annuus_Spain_2017,Halictus sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Dasypoda sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Closterotomus norwegicus,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Apoidea,superfamily,
Silvia_Castro_Helianthus_annuus_Spain_2017,Arachnidae,class,Arachnida
Silvia_Castro_Helianthus_annuus_Spain_2017,Diptera,order,
Silvia_Castro_Helianthus_annuus_Spain_2017,Scarabaeidae,family,
Silvia_Castro_Helianthus_annuus_Spain_2017,Vespidae,family,
Silvia_Castro_Helianthus_annuus_Spain_2017,Chrysoperla cf. carnea,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Macroglossum sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Diptera sp1,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Diptera sp2,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Diptera sp3,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Diptera sp4,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Megachile sp. 1,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Megachile sp. 2,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Megachile sp. 3,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Xylocopa sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Lucilia sericata,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Syrphid,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Pollenia sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Stomorhina lunata,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Scaeva sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Stevenia sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,unidentified,other,
Silvia_Castro_Helianthus_annuus_Spain_2017,Anthophora sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Megachile sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Osmia sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Sphex sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Amegilla sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Coleoptera,order,
Silvia_Castro_Helianthus_annuus_Spain_2017,Bombus sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Coccinellidae,family,
Silvia_Castro_Helianthus_annuus_Spain_2017,Halictus fulvipes,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Neomyia cornicina,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Hemiptera,order,
Silvia_Castro_Helianthus_annuus_Spain_2017,Heteroptera,suborder,
Silvia_Castro_Helianthus_annuus_Spain_2017,Pyronia sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Calocoris roseomaculatus,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Eristalinus taniops,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Halictus scabiosae,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Lasioglossum sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Muscidae,family,
Silvia_Castro_Helianthus_annuus_Spain_2017,Spilosthethus pandurus,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Orthoptera,order,
Silvia_Castro_Helianthus_annuus_Spain_2017,Andrena albopunctata,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Ceratina sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Macroglossum stellatarum,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Protaetia sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Eilema sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Forficula auricularia,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Seladonia smaragdula,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Xysticus sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Mylabris_quadripunctata_,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Eupeodes_corollae_,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Scaeva_pyrastri_,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Tachina_magnicornis_,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Usia_sp nº 1_,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Andrena_flavipes_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Apis_mellifera_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Athalia _sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Halictus_compressus,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Halictus_quadricinctus_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Halictus_scabiosae_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Halictus_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Lasioglossum_bimaculatum_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Lasioglossum_discum_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Lasioglossum_glabriusculum_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Lasioglossum_interruptum_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Lasioglossum_leucozonium_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Lasioglossum_malachurum_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Lasioglossum_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Microdiprion _pallipes_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Podalonia_cf. hirsuta_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Polistes_dominula_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Trypoxylon_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Adonia_variegata_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Coccinella_septempunctata_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Halictus_patellatus_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Lasioglossum_albocinctum_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Lasioglossum_corvinum_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Lasioglossum_perclavipes_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Xylocopa_violacea_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Lagria_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Diptera_sp nº 1,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Diptera_sp nº 2,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Eumerus_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Merodon _sp nº1_,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Ammophila_sabulosa_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Eucera_cineraria_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Hylaeus_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Hylaeus_variegatus_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Hymenoptera_sp nº 2,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Hymenoptera_sp nº 4,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Hymenoptera_sp nº 5,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Hymenoptera_sp nº 6,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Icneumon_sp. nº1_,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Panurgus_cephalotes_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Vespula_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Hesperia_comma_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Hyperaea_femoralis_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Melanostoma_mellinum_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Sphaerophoria_scripta_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Stomorhina_lunata_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Andrena_albopunctata_melona,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Halictus_smaragdulus_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Lasioglossum_MORFO D_,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Lasioglossum_pauxillum_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Megachile_pilidens_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Pimpla_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Andrena_hispania_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Andrena_morio_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Andrena_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Chrysis_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Colpa_quinquecincta_occidentalis,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Hymenoptera_sp nº 11,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Oxybelus_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Hymenoptera,order,
Silvia_Castro_Helianthus_annuus_Spain_2017,Oxythyrea_funesta_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Stenopterus_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Diptera_sp nº3,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Eupeodes_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Syritta _pipiens_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Hymenoptera_sp nº 7,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Hymenoptera_sp nº 8,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Melllina_arvensis_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Mutilla_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Pseudapis_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Tytthaspis _sedecinguttata_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Diptera_sp. nº1,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Diptera_sp. nº2,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Lucilia_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Musca_domestica_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Amegilla_bimaculata_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Colpa_sexmaculata_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Rhagonycha _fulva_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Ammophila_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Andrena_ pilipes_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Anthidium _manicatum_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Anthophora_bimaculata_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Bombus_laessus_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Eumenes_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Lithurgus_cornuta_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Megachile_melanopyga_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Ophion_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Polistes_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Colias_alfacariensis_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Hyles_euphorbiae_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Species no.1,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Dasypoda_altercator_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Lasioglossum_politum_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Ceratina_chalcites_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Xylocopa_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Melitaea_phoebe_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Sp. 2,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Clanoptilus_cf. elegans_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Bombus_terrestris_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Halictus_sexcinctus_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Chlorophorus_trifasciatus_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Potosia_oblonga_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Arge _sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Lasioglossum_MORFO A_,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Polistes_nympha_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Megachile_rotundata_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Amegilla_quadripunctata_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Eristalis_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Bombus_cullumanus_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Xylocopa_iris_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,sp. 3,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2017,Ceratina_cyanea_,species,
Silvia_Castro_Helianthus_annuus_Spain_2017,Eucera_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Nomada_sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Cerceris _sp._,genus,
Silvia_Castro_Helianthus_annuus_Spain_2017,Halictus_subauratus_,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Apoidea,superfamily,
Silvia_Castro_Helianthus_annuus_Spain_2018,Diptera,order,
Silvia_Castro_Helianthus_annuus_Spain_2018,Andrena bimaculata,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Chrysoperla cf. carnea,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Closterotomus norwegicus,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Halictus scabiosae,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Oedemera simplex,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Panurgus siculus,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Halictus quadricinctus,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Piezodorus lituratus,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,unidentified,other,
Silvia_Castro_Helianthus_annuus_Spain_2018,Coccinellidae,family,
Silvia_Castro_Helianthus_annuus_Spain_2018,Hemiptera,order,
Silvia_Castro_Helianthus_annuus_Spain_2018,Lucilia sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2018,Stelis breviuscula,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Dasypoda sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2018,Dolycoris baccarum,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Eupeodes sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2018,Lasioglossum sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2018,Arachnidae,class,Arachnida
Silvia_Castro_Helianthus_annuus_Spain_2018,Diptera sp5,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2018,Diptera sp6,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2018,Diptera sp7,morphospecies,
Silvia_Castro_Helianthus_annuus_Spain_2018,Brachymeria sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2018,Chrysis ignita,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Macroglossum stellatarum,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Oxythyrea funesta,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Sphaerophoria cf. scripta,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Stomorhina lunata,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Bombus sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2018,Halictus sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2018,Orthoptera,order,
Silvia_Castro_Helianthus_annuus_Spain_2018,Calocoris sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2018,Eucera sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2018,Neoscona adianta,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Lygus sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2018,Andrena albopunctata,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Bombus campestris,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Halictus rubicundus,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Lasioglossum fratellum,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Halictus sexcinctus,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Megachile sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2018,Coleoptera,order,
Silvia_Castro_Helianthus_annuus_Spain_2018,Heriades sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2018,Pollenia sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2018,Vanessa atalanta,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Bombus magnus,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Forficula auricularia,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Lasioglossum punctatissimum,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Bombus ruderatus,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Ceratina sp.,genus,
Silvia_Castro_Helianthus_annuus_Spain_2018,Lygaeus equestris,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Halictus confusus,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Adonia_variegata_,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Coccinella_septempunctata_,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Lagrtia_hirta_,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Sitaris_muralis_,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Tytthaspis _sedecinguttata_,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Episyrphus_balteatus_,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Eupeodes_corollae_,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Musca_domestica_,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Phthiria_vagans_,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Sphaerophoria_scripta_,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Stomorhina_lunata_,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Andrena_albopunctata_melona,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Andrena_flavipes_,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Apis_mellifera_,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Arge _rosae_,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Lasioglossum_corvinum_,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Lasioglossum_costulatum_,species,
Silvia_Castro_Helianthus_annuus_Spain_2018,Lasioglossum_glabriusculum_,species,
